"","fish_id","hakai_id","seine_id","jsp_survey_id","date","site_id","jsp_sample_type","analyzing_lab","quality_level","quality_log"
"1","U5146","BRN66G-C2","DE300N1","DE300",2016-06-03,"D07","gill",NA,"Raw",NA
"2","U5147","BRN66G-B2","DE300N1","DE300",2016-06-03,"D07","gill",NA,"Raw",NA
"3","U5148","BRN66G-A2","DE300N1","DE300",2016-06-03,"D07","gill",NA,"Raw",NA
"4","U5149","BRN66G-H4","DE300N1","DE300",2016-06-03,"D07","gill",NA,"Raw",NA
"5","U5150","BRN66G-G4","DE300N1","DE300",2016-06-03,"D07","gill",NA,"Raw",NA
"6","U5162","BRN66G-E4","DE303N1","DE303",2016-06-08,"D11","gill",NA,"Raw",NA
"7","U5163","BRN66G-D4","DE303N1","DE303",2016-06-08,"D11","gill",NA,"Raw",NA
"8","U5164","BRN66G-C4","DE303N1","DE303",2016-06-08,"D11","gill",NA,"Raw",NA
"9","U5165","BRN66G-B4","DE303N1","DE303",2016-06-08,"D11","gill",NA,"Raw",NA
"10","U5166","BRN66G-A4","DE303N1","DE303",2016-06-08,"D11","gill",NA,"Raw",NA
"11","U5167","BRN66G-G6","DE303N1","DE303",2016-06-08,"D11","gill",NA,"Raw","1: Muscle is in G6, but Gill is in H6. G6 left blank for sample instead"
"12","U5168","BRN66G-F6","DE303N1","DE303",2016-06-08,"D11","gill",NA,"Raw",NA
"13","U5170","BRN66G-D6","DE303N1","DE303",2016-06-08,"D11","gill",NA,"Raw",NA
"14","U5153","BRN66G-F3","JE269N1","JE269",2016-06-11,"J06","gill",NA,"Raw","1: Gill touched by muscle of U5156"
"15","U5154","BRN66G-E3","JE269N1","JE269",2016-06-11,"J06","gill",NA,"Raw",NA
"16","U5155","BRN66G-D3","JE269N1","JE269",2016-06-11,"J06","gill",NA,"Raw",NA
"17","U5156","BRN66G-C3","JE269N1","JE269",2016-06-11,"J06","gill",NA,"Raw",NA
"18","U5158","BRN66G-A3","JE269N1","JE269",2016-06-11,"J06","gill",NA,"Raw",NA
"19","U5179","BRN66G-F5","JE270N1","JE270",2016-06-11,"J07","gill",NA,"Raw",NA
"20","U5180","BRN66G-E5","JE270N1","JE270",2016-06-11,"J07","gill",NA,"Raw",NA
"21","U5181","BRN66G-D5","JE270N1","JE270",2016-06-11,"J07","gill",NA,"Raw",NA
"22","U5183","BRN66G-B5","JE270N1","JE270",2016-06-11,"J07","gill",NA,"Raw",NA
"23","U5184","BRN66G-A5","JE270N1","JE270",2016-06-11,"J07","gill",NA,"Raw",NA
"24","U5173","BRN66G-A6","JE302N1","JE302",2016-07-05,"J07","gill",NA,"Raw",NA
"25","U5174","BRN66G-H7","JE302N1","JE302",2016-07-05,"J07","gill",NA,"Raw",NA
"26","U5175","BRN66G-G7","JE302N1","JE302",2016-07-05,"J07","gill",NA,"Raw",NA
"27","U5176","BRN66G-F7","JE302N1","JE302",2016-07-05,"J07","gill",NA,"Raw",NA
"28","U5177","BRN66G-E7","JE302N1","JE302",2016-07-05,"J07","gill",NA,"Raw",NA
"29","U5178","BRN66G-D7","JE302N1","JE302",2016-07-05,"J07","gill",NA,"Raw",NA
"30","U5195","BRN66G-B7","JE302N1","JE302",2016-07-05,"J07","gill",NA,"Raw",NA
"31","U5197","BRN66G-H8","JE258N1","JE258",2016-06-03,"J07","gill",NA,"Raw",NA
"32","U5198","BRN66G-G8","JE258N1","JE258",2016-06-03,"J07","gill",NA,"Raw",NA
"33","U5201","BRN66G-D8","JE258N1","JE258",2016-06-03,"J07","gill",NA,"Raw",NA
"34","U5202","BRN66G-C8","JE258N1","JE258",2016-06-03,"J07","gill",NA,"Raw",NA
"35","U5203","BRN66G-B8","JE258N1","JE258",2016-06-03,"J07","gill",NA,"Raw",NA
"36","U5204","BRN66G-A8","JE258N1","JE258",2016-06-03,"J07","gill",NA,"Raw",NA
