sample_id,sample_type,ufn,tissue_type,sample_comments,analyzing_lab,quality_log
DS00001,DNA,U9873,fin_clip,NA,NA,NA
DS00002,DNA,U9882,fin_clip,NA,NA,NA
DS00003,DNA,U9886,fin_clip,NA,NA,NA
DS00004,DNA,U9888,fin_clip,NA,NA,NA
DS00005,DNA,U9889,fin_clip,NA,NA,NA
DS00006,DNA,U9890,fin_clip,NA,NA,NA
DS00007,DNA,U9891,fin_clip,NA,NA,NA
DS00008,DNA,U9892,fin_clip,NA,NA,NA
DS00009,DNA,U9893,fin_clip,NA,NA,NA
DS00010,DNA,U9874,fin_clip,NA,NA,NA
DS00011,DNA,U9875,fin_clip,NA,NA,NA
DS00012,DNA,U9876,fin_clip,NA,NA,NA
DS00013,DNA,U9877,fin_clip,NA,NA,NA
DS00014,DNA,U9878,fin_clip,NA,NA,NA
DS00015,DNA,U9879,fin_clip,NA,NA,NA
DS00016,DNA,U9880,fin_clip,NA,NA,NA
DS00017,DNA,U9881,fin_clip,NA,NA,NA
DS00024,DNA,U9883,fin_clip,NA,NA,NA
DS00025,DNA,U9884,fin_clip,NA,NA,NA
DS00026,DNA,U9885,fin_clip,NA,NA,NA
DS00031,DNA,U9887,fin_clip,NA,NA,NA
DS00031,DNA,U9824,fin_clip,NA,NA,NA
DS00032,DNA,U9832,fin_clip,NA,NA,NA
DS00033,DNA,U9836,fin_clip,NA,NA,NA
DS00034,DNA,U9838,fin_clip,NA,NA,NA
DS00035,DNA,U9839,fin_clip,NA,NA,NA
DS00036,DNA,U9840,fin_clip,NA,NA,NA
DS00037,DNA,U9841,fin_clip,NA,NA,NA
DS00038,DNA,U9842,fin_clip,NA,NA,NA
DS00039,DNA,U9843,fin_clip,NA,NA,NA
DS00040,DNA,U9825,fin_clip,NA,NA,NA
DS00041,DNA,U9826,fin_clip,NA,NA,NA
DS00042,DNA,U9827,fin_clip,NA,NA,NA
DS00043,DNA,U9828,fin_clip,NA,NA,NA
DS00044,DNA,U9829,fin_clip,NA,NA,NA
DS00045,DNA,U9830,fin_clip,NA,NA,NA
DS00048,DNA,U9831,fin_clip,NA,NA,NA
DS00057,DNA,U9833,fin_clip,NA,NA,NA
DS00058,DNA,U9834,fin_clip,NA,NA,NA
DS00059,DNA,U9835,fin_clip,NA,NA,NA
DS00060,DNA,U9837,fin_clip,NA,NA,NA
DS00061,DNA,U9926,fin_clip,NA,NA,NA
DS00062,DNA,U9933,fin_clip,NA,NA,NA
DS00063,DNA,U9939,fin_clip,NA,NA,NA
DS00064,DNA,U9940,fin_clip,NA,NA,NA
DS00065,DNA,U9941,fin_clip,NA,NA,NA
DS00066,DNA,U9942,fin_clip,NA,NA,NA
DS00067,DNA,U9943,fin_clip,NA,NA,NA
DS00068,DNA,U9944,fin_clip,NA,NA,NA
DS00069,DNA,U9945,fin_clip,NA,NA,NA
DS00070,DNA,U9927,fin_clip,NA,NA,NA
DS00071,DNA,U9928,fin_clip,NA,NA,NA
DS00072,DNA,U9929,fin_clip,NA,NA,NA
DS00073,DNA,U9930,fin_clip,NA,NA,NA
DS00074,DNA,U9931,fin_clip,NA,NA,NA
DS00075,DNA,U9932,fin_clip,NA,NA,NA
DS00082,DNA,U9934,fin_clip,NA,NA,NA
