sample_id,sample_type,ufn,sample_comments,analyzing_lab
S01IS1,isotope,U01,NA,DCostalago_UBC
S02IS1,isotope,U02,NA,DCostalago_UBC
S03IS1,isotope,U03,NA,DCostalago_UBC
S04IS1,isotope,U04,NA,DCostalago_UBC
S05IS1,isotope,U05,NA,DCostalago_UBC
S07IS1,isotope,U07,NA,NA
S08IS1,isotope,U08,NA,DCostalago_UBC
S09IS1,isotope,U09,NA,DCostalago_UBC
S10IS1,isotope,U10,NA,NA
S11IS1,isotope,U11,NA,DCostalago_UBC
S12IS1,isotope,U12,NA,DCostalago_UBC
S13IS1,isotope,U13,NA,DCostalago_UBC
S14IS1,isotope,U14,NA,DCostalago_UBC
S15IS1,isotope,U15,NA,DCostalago_UBC
S16IS1,isotope,U16,NA,NA
S17IS1,isotope,U17,NA,NA
S18IS1,isotope,U18,NA,DCostalago_UBC
S19IS1,isotope,U19,NA,NA
S20IS1,isotope,U20,NA,NA
S21IS1,isotope,U21,NA,NA
S22IS1,isotope,U22,NA,DCostalago_UBC
S23IS1,isotope,U23,NA,DCostalago_UBC
S24IS1,isotope,U24,NA,DCostalago_UBC
S25IS1,isotope,U25,NA,NA
S26IS1,isotope,U26,NA,NA
S27IS1,isotope,U27,NA,NA
S28IS1,isotope,U28,NA,NA
S29IS1,isotope,U29,NA,NA
S30IS1,isotope,U30,NA,NA
S31IS1,isotope,U31,NA,NA
S32IS1,isotope,U32,NA,DCostalago_UBC
S33IS1,isotope,U33,NA,DCostalago_UBC
S34IS1,isotope,U34,NA,DCostalago_UBC
S35IS1,isotope,U35,NA,NA
S36IS1,isotope,U36,NA,DCostalago_UBC
S37IS1,isotope,U37,NA,NA
S38IS1,isotope,U38,NA,NA
S40IS1,isotope,U40,NA,NA
S41IS1,isotope,U41,NA,DCostalago_UBC
S42IS1,isotope,U42,NA,NA
S43IS1,isotope,U43,NA,NA
S45IS1,isotope,U45,NA,NA
S46IS1,isotope,U46,NA,NA
S47IS1,isotope,U47,NA,NA
S48IS1,isotope,U48,NA,NA
S49IS1,isotope,U49,NA,NA
S50IS1,isotope,U50,NA,NA
S51IS1,isotope,U51,NA,NA
S52IS1,isotope,U52,NA,NA
S53IS1,isotope,U53,NA,NA
S54IS1,isotope,U54,NA,NA
S55IS1,isotope,U55,NA,NA
S56IS1,isotope,U56,NA,NA
S57IS1,isotope,U57,NA,NA
S58IS1,isotope,U58,NA,NA
S59IS1,isotope,U59,NA,NA
S60IS1,isotope,U60,NA,NA
S61IS1,isotope,U61,NA,NA
S62IS1,isotope,U62,NA,NA
S63IS1,isotope,U63,NA,NA
S65IS1,isotope,U65,NA,NA
S66IS1,isotope,U66,NA,NA
S68IS1,isotope,U68,NA,NA
S69IS1,isotope,U69,NA,NA
S70IS1,isotope,U70,NA,NA
S71IS1,isotope,U71,NA,NA
S72IS1,isotope,U72,NA,NA
S73IS1,isotope,U73,NA,NA
S74IS1,isotope,U74,NA,NA
S75IS1,isotope,U75,NA,NA
S76IS1,isotope,U76,NA,NA
S77IS1,isotope,U77,NA,NA
S78IS1,isotope,U78,NA,NA
S79IS1,isotope,U79,NA,NA
S80IS1,isotope,U80,NA,NA
S81IS1,isotope,U81,NA,NA
S82IS1,isotope,U82,NA,NA
S83IS1,isotope,U83,NA,NA
S84IS1,isotope,U84,NA,NA
S85IS1,isotope,U85,NA,NA
S86IS1,isotope,U86,NA,NA
S87IS1,isotope,U87,NA,NA
S88IS1,isotope,U88,NA,NA
S89IS1,isotope,U89,NA,NA
S90IS1,isotope,U90,NA,NA
S91IS1,isotope,U91,NA,NA
S92IS1,isotope,U92,NA,NA
S93IS1,isotope,U93,NA,NA
S94IS1,isotope,U94,NA,NA
S96IS1,isotope,U96,NA,NA
S97IS1,isotope,U97,NA,NA
S98IS1,isotope,U98,NA,NA
S99IS1,isotope,U99,NA,NA
S101IS1,isotope,U101,NA,NA
S102IS1,isotope,U102,NA,NA
S103IS1,isotope,U103,NA,NA
S104IS1,isotope,U104,NA,NA
S105IS1,isotope,U105,NA,NA
S106IS1,isotope,U106,NA,NA
S107IS1,isotope,U107,NA,NA
S108IS1,isotope,U108,NA,NA
S109IS1,isotope,U109,NA,NA
S110IS1,isotope,U110,NA,DCostalago_UBC
S111IS1,isotope,U111,NA,NA
S112IS1,isotope,U112,NA,NA
S113IS1,isotope,U113,NA,NA
S114IS1,isotope,U114,NA,NA
S115IS1,isotope,U115,NA,NA
S116IS1,isotope,U116,NA,NA
S117IS1,isotope,U117,NA,NA
S118IS1,isotope,U118,NA,NA
S119IS1,isotope,U119,NA,NA
S120IS1,isotope,U120,NA,NA
S121IS1,isotope,U121,NA,NA
S122IS1,isotope,U122,NA,NA
S123IS1,isotope,U123,NA,NA
S124IS1,isotope,U124,NA,NA
S125IS1,isotope,U125,NA,NA
S126IS1,isotope,U126,NA,NA
S127IS1,isotope,U127,NA,DCostalago_UBC
S128IS1,isotope,U128,NA,DCostalago_UBC
S129IS1,isotope,U129,NA,DCostalago_UBC
S130IS1,isotope,U130,NA,DCostalago_UBC
S131IS1,isotope,U131,NA,DCostalago_UBC
S132IS1,isotope,U132,NA,DCostalago_UBC
S133IS1,isotope,U133,NA,NA
S134IS1,isotope,U134,NA,NA
S135IS1,isotope,U135,NA,NA
S136IS1,isotope,U136,NA,NA
S137IS1,isotope,U137,NA,NA
S138IS1,isotope,U138,NA,NA
S139IS1,isotope,U139,NA,NA
S140IS1,isotope,U140,NA,NA
S141IS1,isotope,U141,NA,NA
S142IS1,isotope,U142,NA,NA
S143IS1,isotope,U143,NA,NA
S144IS1,isotope,U144,NA,NA
S145IS1,isotope,U145,NA,NA
S146IS1,isotope,U146,NA,NA
S147IS1,isotope,U147,NA,DCostalago_UBC
S148IS1,isotope,U148,NA,DCostalago_UBC
S149IS1,isotope,U149,NA,DCostalago_UBC
S150IS1,isotope,U150,NA,DCostalago_UBC
S151IS1,isotope,U151,NA,NA
S152IS1,isotope,U152,NA,NA
S153IS1,isotope,U153,NA,NA
S154IS1,isotope,U154,NA,NA
S155IS1,isotope,U155,NA,NA
S156IS1,isotope,U156,NA,NA
S157IS1,isotope,U157,NA,DCostalago_UBC
S158IS1,isotope,U158,NA,NA
S159IS1,isotope,U159,NA,NA
S160IS1,isotope,U160,NA,NA
S161IS1,isotope,U161,NA,NA
S162IS1,isotope,U162,NA,NA
S163IS1,isotope,U163,NA,NA
S164IS1,isotope,U164,NA,NA
S165IS1,isotope,U165,NA,NA
S166IS1,isotope,U166,NA,NA
S167IS1,isotope,U167,NA,NA
S168IS1,isotope,U168,NA,NA
S169IS1,isotope,U169,NA,NA
S170IS1,isotope,U170,NA,NA
S171IS1,isotope,U171,NA,NA
S172IS1,isotope,U172,NA,NA
S174IS1,isotope,U174,NA,NA
S175IS1,isotope,U175,NA,NA
S176IS1,isotope,U176,NA,NA
S177IS1,isotope,U177,NA,NA
S178IS1,isotope,U178,NA,NA
S179IS1,isotope,U179,NA,NA
S180IS1,isotope,U180,NA,DCostalago_UBC
S181IS1,isotope,U181,NA,NA
S182IS1,isotope,U182,NA,NA
S183IS1,isotope,U183,NA,NA
S184IS1,isotope,U184,NA,NA
S185IS1,isotope,U185,NA,NA
S186IS1,isotope,U186,NA,NA
S187IS1,isotope,U187,NA,NA
S188IS1,isotope,U188,NA,NA
S189IS1,isotope,U189,NA,DCostalago_UBC
S190IS1,isotope,U190,NA,DCostalago_UBC
S191IS1,isotope,U191,NA,NA
S192IS1,isotope,U192,NA,DCostalago_UBC
S193IS1,isotope,U193,NA,DCostalago_UBC
S194IS1,isotope,U194,NA,DCostalago_UBC
S195IS1,isotope,U195,NA,DCostalago_UBC
S196IS1,isotope,U196,NA,DCostalago_UBC
S197IS1,isotope,U197,NA,DCostalago_UBC
S198IS1,isotope,U198,NA,DCostalago_UBC
S199IS1,isotope,U199,NA,DCostalago_UBC
S200IS1,isotope,U200,NA,DCostalago_UBC
S201IS1,isotope,U201,NA,DCostalago_UBC
S202IS1,isotope,U202,NA,DCostalago_UBC
S203IS1,isotope,U203,NA,DCostalago_UBC
S204IS1,isotope,U204,NA,DCostalago_UBC
S205IS1,isotope,U205,NA,DCostalago_UBC
S206IS1,isotope,U206,NA,DCostalago_UBC
S207IS1,isotope,U207,NA,DCostalago_UBC
S208IS1,isotope,U208,NA,DCostalago_UBC
S209IS1,isotope,U209,NA,DCostalago_UBC
S210IS1,isotope,U210,NA,DCostalago_UBC
S211IS1,isotope,U211,NA,DCostalago_UBC
S212IS1,isotope,U212,NA,DCostalago_UBC
S213IS1,isotope,U213,NA,DCostalago_UBC
S214IS1,isotope,U214,NA,DCostalago_UBC
S215IS1,isotope,U215,NA,DCostalago_UBC
S216IS1,isotope,U216,NA,DCostalago_UBC
S217IS1,isotope,U217,NA,DCostalago_UBC
S218IS1,isotope,U218,NA,DCostalago_UBC
S219IS1,isotope,U219,NA,DCostalago_UBC
S220IS1,isotope,U220,NA,DCostalago_UBC
S221IS1,isotope,U221,NA,DCostalago_UBC
S222IS1,isotope,U222,NA,DCostalago_UBC
