sample_id,sample_type,ufn,sample_comments,analyzing_lab
S32SL1,sealice_id_fs,U32,mangled Cal. chal B,LPortner
S33SL1,sealice_id_fs,U33,1 Caligus Chal A severly destroyed,LPortner
S34SL1,sealice_id_fs,U34,NA,LPortner
S204SL1,sealice_id_fs,U204,NA,LPortner
S205SL1,sealice_id_fs,U205,NA,LPortner
S206SL1,sealice_id_fs,U206,NA,LPortner
S211SL1,sealice_id_fs,U211,NA,LPortner
S212SL1,sealice_id_fs,U212,NA,LPortner
S198SL1,sealice_id_fs,U198,NA,LPortner
S199SL1,sealice_id_fs,U199,NA,LPortner
S195SL1,sealice_id_fs,U195,NA,LPortner
S147SL1,sealice_id_fs,U147,NA,LPortner
S149SL1,sealice_id_fs,U149,NA,LPortner
S157SL1,sealice_id_fs,U157,NA,LPortner
S132SL1,sealice_id_fs,U132,NA,LPortner
S01SL1,sealice_id_fs,U01,NA,LPortner
S02SL1,sealice_id_fs,U02,NA,LPortner
S03SL1,sealice_id_fs,U03,NA,LPortner
S04SL1,sealice_id_fs,U04,NA,LPortner
S05SL1,sealice_id_fs,U05,NA,LPortner
S11SL1,sealice_id_fs,U11,NA,LPortner
S12SL1,sealice_id_fs,U12,NA,LPortner
S13SL1,sealice_id_fs,U13,NA,LPortner
S14SL1,sealice_id_fs,U14,NA,LPortner
S15SL1,sealice_id_fs,U15,NA,LPortner
S08SL1,sealice_id_fs,U08,NA,LPortner
S09SL1,sealice_id_fs,U09,NA,LPortner
S22SL1,sealice_id_fs,U22,NA,LPortner
S23SL1,sealice_id_fs,U23,NA,LPortner
S24SL1,sealice_id_fs,U24,NA,LPortner
S36SL1,sealice_id_fs,U36,NA,LPortner
S18SL1,sealice_id_fs,U18,NA,LPortner
S190SL1,sealice_id_fs,U190,NA,LPortner
S196SL1,sealice_id_fs,U196,NA,LPortner
S110SL1,sealice_id_fs,U110,NA,LPortner
S131SL1,sealice_id_fs,U131,NA,LPortner
S1051SL1,sealice_id_fs,U1051,NA,LPortner
S1315SL1,sealice_id_fs,U1315,NA,LPortner
S1392SL1,sealice_id_fs,U1392,NA,LPortner
S1188SL1,sealice_id_fs,U1188,NA,LPortner
S1385SL1,sealice_id_fs,U1385,NA,LPortner
S1386SL1,sealice_id_fs,U1386,NA,LPortner
S1389SL1,sealice_id_fs,U1389,NA,LPortner
S1398SL1,sealice_id_fs,U1398,NA,LPortner
S1394SL1,sealice_id_fs,U1394,NA,LPortner
S1190SL1,sealice_id_fs,U1190,NA,LPortner
S1405SL1,sealice_id_fs,U1405,NA,LPortner
S1401SL1,sealice_id_fs,U1401,NA,LPortner
S1387SL1,sealice_id_fs,U1387,NA,LPortner
S1396SL1,sealice_id_fs,U1396,NA,LPortner
S1402SL1,sealice_id_fs,U1402,NA,LPortner
S1388SL1,sealice_id_fs,U1388,NA,LPortner
S1403SL1,sealice_id_fs,U1403,NA,LPortner
S1404SL1,sealice_id_fs,U1404,NA,LPortner
S1390SL1,sealice_id_fs,U1390,NA,LPortner
S1406SL1,sealice_id_fs,U1406,NA,LPortner
S1407SL1,sealice_id_fs,U1407,NA,LPortner
S1412SL1,sealice_id_fs,U1412,NA,LPortner
S1376SL1,sealice_id_fs,U1376,NA,LPortner
S1408SL1,sealice_id_fs,U1408,NA,LPortner
S1399SL1,sealice_id_fs,U1399,NA,LPortner
S1400SL1,sealice_id_fs,U1400,NA,LPortner
S16SL1,sealice_id_fs,U16,1 louse taken seems to be different species?,LPortner
S07SL1,sealice_id_fs,U07,NA,LPortner
S21SL1,sealice_id_fs,U21,NA,LPortner
S17SL1,sealice_id_fs,U17,NA,LPortner
S10SL1,sealice_id_fs,U10,NA,LPortner
S35SL1,sealice_id_fs,U35,1 otolith,LPortner
S42SL1,sealice_id_fs,U42,NA,LPortner
S25SL1,sealice_id_fs,U25,NA,LPortner
S43SL1,sealice_id_fs,U43,NA,LPortner
S26SL1,sealice_id_fs,U26,NA,LPortner
S37SL1,sealice_id_fs,U37,NA,LPortner
S45SL1,sealice_id_fs,U45,NA,LPortner
S27SL1,sealice_id_fs,U27,NA,LPortner
S38SL1,sealice_id_fs,U38,NA,LPortner
S46SL1,sealice_id_fs,U46,NA,LPortner
S19SL1,sealice_id_fs,U19,NA,LPortner
S28SL1,sealice_id_fs,U28,NA,LPortner
