sample_id,sample_type,ufn,sample_comments,analyzing_lab,sample_quality_flag,sample_quality_log
S01ST1,stomach,U01,NA,UBC_Hunt,AV,NA
S02ST1,stomach,U02,NA,UBC_Hunt,AV,NA
S03ST1,stomach,U03,NA,UBC_Hunt,AV,NA
S04ST1,stomach,U04,NA,UBC_Hunt,AV,NA
S05ST1,stomach,U05,NA,UBC_Hunt,AV,NA
S07ST1,stomach,U07,NA,UBC_Hunt,AV,NA
S08ST1,stomach,U08,NA,UBC_Hunt,AV,NA
S09ST1,stomach,U09,NA,UBC_Hunt,AV,NA
S10ST1,stomach,U10,NA,UBC_Hunt,AV,NA
S11ST1,stomach,U11,NA,UBC_Hunt,AV,NA
S12ST1,stomach,U12,NA,UBC_Hunt,AV,NA
S13ST1,stomach,U13,NA,UBC_Hunt,AV,NA
S14ST1,stomach,U14,NA,UBC_Hunt,AV,NA
S15ST1,stomach,U15,NA,UBC_Hunt,AV,NA
S16ST1,stomach,U16,NA,UBC_Hunt,AV,NA
S17ST1,stomach,U17,NA,UBC_Hunt,AV,NA
S18ST1,stomach,U18,NA,UBC_Hunt,AV,NA
S19ST1,stomach,U19,NA,UBC_Hunt,AV,NA
S20ST1,stomach,U20,NA,UBC_Hunt,AV,NA
S21ST1,stomach,U21,NA,UBC_Hunt,AV,NA
S22ST1,stomach,U22,NA,UBC_Hunt,AV,NA
S23ST1,stomach,U23,NA,UBC_Hunt,AV,NA
S24ST1,stomach,U24,NA,UBC_Hunt,AV,NA
S25ST1,stomach,U25,NA,UBC_Hunt,AV,NA
S26ST1,stomach,U26,NA,UBC_Hunt,AV,NA
S27ST1,stomach,U27,NA,UBC_Hunt,AV,NA
S28ST1,stomach,U28,NA,UBC_Hunt,AV,NA
S29ST1,stomach,U29,NA,UBC_Hunt,AV,NA
S30ST1,stomach,U30,NA,UBC_Hunt,AV,NA
S31ST1,stomach,U31,NA,UBC_Hunt,AV,NA
S32ST1,stomach,U32,NA,UBC_Hunt,AV,NA
S33ST1,stomach,U33,NA,UBC_Hunt,AV,NA
S34ST1,stomach,U34,NA,UBC_Hunt,AV,NA
S35ST1,stomach,U35,NA,UBC_Hunt,AV,NA
S36ST1,stomach,U36,NA,UBC_Hunt,AV,NA
S37ST1,stomach,U37,NA,UBC_Hunt,AV,NA
S38ST1,stomach,U38,NA,UBC_Hunt,AV,NA
S40ST1,stomach,U40,NA,UBC_Hunt,AV,NA
S41ST1,stomach,U41,NA,UBC_Hunt,AV,NA
S42ST1,stomach,U42,NA,UBC_Hunt,AV,NA
S43ST1,stomach,U43,NA,UBC_Hunt,AV,NA
S45ST1,stomach,U45,NA,UBC_Hunt,AV,NA
S46ST1,stomach,U46,NA,UBC_Hunt,AV,NA
S47ST1,stomach,U47,NA,UBC_Hunt,AV,NA
S48ST1,stomach,U48,NA,UBC_Hunt,AV,NA
S49ST1,stomach,U49,NA,UBC_Hunt,AV,NA
S50ST1,stomach,U50,NA,UBC_Hunt,AV,NA
S51ST1,stomach,U51,NA,UBC_Hunt,AV,NA
S52ST1,stomach,U52,NA,UBC_Hunt,AV,NA
S53ST1,stomach,U53,NA,UBC_Hunt,AV,NA
S54ST1,stomach,U54,NA,UBC_Hunt,AV,NA
S55ST1,stomach,U55,NA,UBC_Hunt,AV,NA
S56ST1,stomach,U56,NA,UBC_Hunt,AV,NA
S57ST1,stomach,U57,NA,UBC_Hunt,AV,NA
S58ST1,stomach,U58,NA,UBC_Hunt,AV,NA
S59ST1,stomach,U59,NA,UBC_Hunt,AV,NA
S60ST1,stomach,U60,NA,UBC_Hunt,AV,NA
S61ST1,stomach,U61,NA,UBC_Hunt,AV,NA
S62ST1,stomach,U62,NA,UBC_Hunt,AV,NA
S63ST1,stomach,U63,NA,UBC_Hunt,AV,NA
S64ST1,stomach,U64,NA,UBC_Hunt,AV,NA
S65ST1,stomach,U65,NA,UBC_Hunt,AV,NA
S66ST1,stomach,U66,NA,UBC_Hunt,AV,NA
S68ST1,stomach,U68,NA,UBC_Hunt,AV,NA
S69ST1,stomach,U69,NA,UBC_Hunt,AV,NA
S70ST1,stomach,U70,NA,UBC_Hunt,AV,NA
S71ST1,stomach,U71,NA,UBC_Hunt,AV,NA
S72ST1,stomach,U72,NA,UBC_Hunt,AV,NA
S73ST1,stomach,U73,NA,UBC_Hunt,AV,NA
S74ST1,stomach,U74,NA,UBC_Hunt,AV,NA
S75ST1,stomach,U75,NA,UBC_Hunt,AV,NA
S76ST1,stomach,U76,NA,UBC_Hunt,AV,NA
S77ST1,stomach,U77,NA,UBC_Hunt,AV,NA
S78ST1,stomach,U78,NA,UBC_Hunt,AV,NA
S79ST1,stomach,U79,NA,UBC_Hunt,AV,NA
S80ST1,stomach,U80,NA,UBC_Hunt,AV,NA
S81ST1,stomach,U81,NA,UBC_Hunt,AV,NA
S82ST1,stomach,U82,NA,UBC_Hunt,AV,NA
S83ST1,stomach,U83,NA,UBC_Hunt,AV,NA
S84ST1,stomach,U84,NA,UBC_Hunt,AV,NA
S85ST1,stomach,U85,NA,UBC_Hunt,AV,NA
S86ST1,stomach,U86,NA,UBC_Hunt,AV,NA
S87ST1,stomach,U87,NA,UBC_Hunt,AV,NA
S88ST1,stomach,U88,NA,UBC_Hunt,AV,NA
S89ST1,stomach,U89,NA,UBC_Hunt,AV,NA
S90ST1,stomach,U90,NA,UBC_Hunt,AV,NA
S91ST1,stomach,U91,NA,UBC_Hunt,AV,NA
S92ST1,stomach,U92,NA,UBC_Hunt,AV,NA
S93ST1,stomach,U93,NA,UBC_Hunt,AV,NA
S94ST1,stomach,U94,NA,UBC_Hunt,AV,NA
S95ST1,stomach,U95,NA,UBC_Hunt,AV,NA
S96ST1,stomach,U96,NA,UBC_Hunt,AV,NA
S97ST1,stomach,U97,NA,UBC_Hunt,AV,NA
S98ST1,stomach,U98,NA,UBC_Hunt,AV,NA
S99ST1,stomach,U99,NA,UBC_Hunt,AV,NA
S100ST1,stomach,U100,NA,UBC_Hunt,AV,NA
S101ST1,stomach,U101,NA,UBC_Hunt,AV,NA
S102ST1,stomach,U102,NA,UBC_Hunt,AV,NA
S103ST1,stomach,U103,NA,UBC_Hunt,AV,NA
S104ST1,stomach,U104,NA,UBC_Hunt,AV,NA
S105ST1,stomach,U105,NA,UBC_Hunt,AV,NA
S106ST1,stomach,U106,NA,UBC_Hunt,AV,NA
S107ST1,stomach,U107,NA,UBC_Hunt,AV,NA
S108ST1,stomach,U108,NA,UBC_Hunt,AV,NA
S109ST1,stomach,U109,NA,UBC_Hunt,AV,NA
S110ST1,stomach,U110,NA,UBC_Hunt,AV,NA
S111ST1,stomach,U111,NA,UBC_Hunt,AV,NA
S112ST1,stomach,U112,NA,UBC_Hunt,AV,NA
S113ST1,stomach,U113,NA,UBC_Hunt,AV,NA
S114ST1,stomach,U114,NA,UBC_Hunt,AV,NA
S115ST1,stomach,U115,NA,UBC_Hunt,AV,NA
S116ST1,stomach,U116,NA,UBC_Hunt,AV,NA
S117ST1,stomach,U117,NA,UBC_Hunt,AV,NA
S118ST1,stomach,U118,NA,UBC_Hunt,AV,NA
S119ST1,stomach,U119,NA,UBC_Hunt,AV,NA
S120ST1,stomach,U120,NA,UBC_Hunt,AV,NA
S121ST1,stomach,U121,NA,UBC_Hunt,AV,NA
S122ST1,stomach,U122,NA,UBC_Hunt,AV,NA
S123ST1,stomach,U123,NA,UBC_Hunt,AV,NA
S124ST1,stomach,U124,NA,UBC_Hunt,AV,NA
S125ST1,stomach,U125,NA,UBC_Hunt,AV,NA
