ufn,sample_id,sample_comments,analyzing_lab,quality_level,quality_log
U99,S99FA1,NA,NA,Raw,
U127,S127FA1,NA,NA,Raw,
U128,S128FA1,NA,NA,Raw,
U129,S129FA1,NA,NA,Raw,
U130,S130FA1,NA,NA,Raw,
U200,S200FA1,NA,NA,Raw,
U207,S207FA1,NA,NA,Raw,
U208,S208FA1,NA,NA,Raw,
U209,S209FA1,NA,NA,Raw,
U210,S210FA1,NA,NA,Raw,
U213,S213FA1,NA,NA,Raw,
U214,S214FA1,NA,NA,Raw,
U215,S215FA1,NA,NA,Raw,
U216,S216FA1,NA,NA,Raw,
U217,S217FA1,NA,NA,Raw,
U218,S218FA1,NA,NA,Raw,
U219,S219FA1,NA,NA,Raw,
U220,S220FA1,NA,NA,Raw,
U221,S221FA1,NA,NA,Raw,
U222,S222FA1,NA,NA,Raw,
U223,S223FA1,NA,NA,Raw,
U224,S224FA1,NA,NA,Raw,
U225,S225FA1,NA,NA,Raw,
U226,S226FA1,NA,NA,Raw,
U227,S227FA1,NA,NA,Raw,
U228,S228FA1,NA,NA,Raw,
U229,S229FA1,NA,NA,Raw,
U230,S230FA1,NA,NA,Raw,
U231,S231FA1,NA,NA,Raw,
U232,S232FA1,NA,NA,Raw,
U233,S233FA1,NA,NA,Raw,
U234,S234FA1,NA,NA,Raw,
U235,S235FA1,NA,NA,Raw,
U236,S236FA1,NA,NA,Raw,
U237,S237FA1,NA,NA,Raw,
U238,S238FA1,NA,NA,Raw,
U239,S239FA1,NA,NA,Raw,
U240,S240FA1,NA,NA,Raw,
U241,S241FA1,NA,NA,Raw,
U242,S242FA1,NA,NA,Raw,
U243,S243FA1,NA,NA,Raw,
U244,S244FA1,NA,NA,Raw,
U246,S246FA1,NA,NA,Raw,
U247,S247FA1,NA,NA,Raw,
U248,S248FA1,NA,NA,Raw,
U249,S249FA1,NA,NA,Raw,
U250,S250FA1,NA,NA,Raw,
U251,S251FA1,NA,NA,Raw,
U252,S252FA1,NA,NA,Raw,
U253,S253FA1,NA,NA,Raw,
U254,S254FA1,NA,NA,Raw,
U255,S255FA1,NA,NA,Raw,
U256,S256FA1,NA,NA,Raw,
U257,S257FA1,NA,NA,Raw,
U258,S258FA1,NA,NA,Raw,
U259,S259FA1,NA,NA,Raw,
U260,S260FA1,NA,NA,Raw,
U261,S261FA1,NA,NA,Raw,
U262,S262FA1,NA,NA,Raw,
U263,S263FA1,NA,NA,Raw,
U264,S264FA1,NA,NA,Raw,
U265,S265FA1,NA,NA,Raw,
U266,S266FA1,NA,NA,Raw,
U267,S267FA1,NA,NA,Raw,
U268,S268FA1,NA,NA,Raw,
U269,S269FA1,NA,NA,Raw,
U270,S270FA1,NA,NA,Raw,
U271,S271FA1,NA,NA,Raw,
U272,S272FA1,NA,NA,Raw,
U273,S273FA1,NA,NA,Raw,
U274,S274FA1,NA,NA,Raw,
U275,S275FA1,NA,NA,Raw,
U276,S276FA1,NA,NA,Raw,
U277,S277FA1,NA,NA,Raw,
U278,S278FA1,NA,NA,Raw,
U279,S279FA1,NA,NA,Raw,
U280,S280FA1,NA,NA,Raw,
U281,S281FA1,NA,NA,Raw,
U284,S284FA1,NA,NA,Raw,
U285,S285FA1,NA,NA,Raw,
U286,S286FA1,NA,NA,Raw,
U287,S287FA1,NA,NA,Raw,
U288,S288FA1,NA,NA,Raw,
U289,S289FA1,NA,NA,Raw,
U290,S290FA1,NA,NA,Raw,
U291,S291FA1,NA,NA,Raw,
U292,S292FA1,NA,NA,Raw,
U293,S293FA1,NA,NA,Raw,
U294,S294FA1,NA,NA,Raw,
U295,S295FA1,NA,NA,Raw,
U296,S296FA1,NA,NA,Raw,
U297,S297FA1,NA,NA,Raw,
U298,S298FA1,NA,NA,Raw,
U299,S299FA1,NA,NA,Raw,
U300,S300FA1,NA,NA,Raw,
U301,S301FA1,NA,NA,Raw,
U302,S302FA1,NA,NA,Raw,
U303,S303FA1,NA,NA,Raw,
U304,S304FA1,NA,NA,Raw,
U305,S305FA1,NA,NA,Raw,
U306,S306FA1,NA,NA,Raw,
U307,S307FA1,NA,NA,Raw,
U308,S308FA1,NA,NA,Raw,
U309,S309FA1,NA,NA,Raw,
U310,S310FA1,NA,NA,Raw,
U311,S311FA1,NA,NA,Raw,
U312,S312FA1,NA,NA,Raw,
U313,S313FA1,NA,NA,Raw,
U315,S315FA1,NA,NA,Raw,
U316,S316FA1,NA,NA,Raw,
U317,S317FA1,NA,NA,Raw,
U318,S318FA1,NA,NA,Raw,
U319,S319FA1,NA,NA,Raw,
U320,S320FA1,NA,NA,Raw,
U321,S321FA1,NA,NA,Raw,
U322,S322FA1,NA,NA,Raw,
U323,S323FA1,NA,NA,Raw,
U324,S324FA1,NA,NA,Raw,
U325,S325FA1,NA,NA,Raw,
U326,S326FA1,NA,NA,Raw,
U327,S327FA1,NA,NA,Raw,
U328,S328FA1,NA,NA,Raw,
U329,S329FA1,NA,NA,Raw,
U330,S330FA1,NA,NA,Raw,
U331,S331FA1,NA,NA,Raw,
U332,S332FA1,NA,NA,Raw,
U333,S333FA1,NA,NA,Raw,
U334,S334FA1,NA,NA,Raw,
U335,S335FA1,NA,NA,Raw,
U336,S336FA1,NA,NA,Raw,
U337,S337FA1,NA,NA,Raw,
U338,S338FA1,NA,NA,Raw,
U339,S339FA1,NA,NA,Raw,
U340,S340FA1,NA,NA,Raw,
U341,S341FA1,NA,NA,Raw,
U342,S342FA1,NA,NA,Raw,
U343,S343FA1,NA,NA,Raw,
U344,S344FA1,NA,NA,Raw,
U345,S345FA1,NA,NA,Raw,
U346,S346FA1,NA,NA,Raw,
U347,S347FA1,NA,NA,Raw,
U348,S348FA1,NA,NA,Raw,
U349,S349FA1,NA,NA,Raw,
U350,S350FA1,NA,NA,Raw,
U351,S351FA1,NA,NA,Raw,
U352,S352FA1,NA,NA,Raw,
U353,S353FA1,NA,NA,Raw,
U354,S354FA1,NA,NA,Raw,
U355,S355FA1,NA,NA,Raw,
U356,S356FA1,NA,NA,Raw,
U357,S357FA1,NA,NA,Raw,
U358,S358FA1,NA,NA,Raw,
U359,S359FA1,NA,NA,Raw,
U360,S360FA1,NA,NA,Raw,
U361,S361FA1,NA,NA,Raw,
U362,S362FA1,NA,NA,Raw,
U363,S363FA1,NA,NA,Raw,
U364,S364FA1,NA,NA,Raw,
U365,S365FA1,NA,NA,Raw,
U366,S366FA1,NA,NA,Raw,
U367,S367FA1,NA,NA,Raw,
U368,S368FA1,NA,NA,Raw,
U369,S369FA1,NA,NA,Raw,
U370,S370FA1,NA,NA,Raw,
U371,S371FA1,NA,NA,Raw,
U372,S372FA1,NA,NA,Raw,
U373,S373FA1,NA,NA,Raw,
U374,S374FA1,NA,NA,Raw,
U375,S375FA1,NA,NA,Raw,
U376,S376FA1,NA,NA,Raw,
U377,S377FA1,NA,NA,Raw,
U378,S378FA1,NA,NA,Raw,
U379,S379FA1,NA,NA,Raw,
U380,S380FA1,NA,NA,Raw,
U381,S381FA1,NA,NA,Raw,
U382,S382FA1,NA,NA,Raw,
U383,S383FA1,NA,NA,Raw,
U384,S384FA1,NA,NA,Raw,
U385,S385FA1,NA,NA,Raw,
U386,S386FA1,NA,NA,Raw,
U387,S387FA1,NA,NA,Raw,
U388,S388FA1,NA,NA,Raw,
U389,S389FA1,NA,NA,Raw,
U390,S390FA1,NA,NA,Raw,
U391,S391FA1,NA,NA,Raw,
U392,S392FA1,NA,NA,Raw,
U393,S393FA1,NA,NA,Raw,
U394,S394FA1,NA,NA,Raw,
U395,S395FA1,NA,NA,Raw,
U396,S396FA1,NA,NA,Raw,
U397,S397FA1,NA,NA,Raw,
U398,S398FA1,NA,NA,Raw,
U399,S399FA1,NA,NA,Raw,
U400,S400FA1,NA,NA,Raw,
U401,S401FA1,NA,NA,Raw,
U402,S402FA1,NA,NA,Raw,
U403,S403FA1,NA,NA,Raw,
U404,S404FA1,NA,NA,Raw,
U405,S405FA1,NA,NA,Raw,
U406,S406FA1,NA,NA,Raw,
U407,S407FA1,NA,NA,Raw,
U408,S408FA1,NA,NA,Raw,
U409,S409FA1,NA,NA,Raw,
U410,S410FA1,NA,NA,Raw,
U411,S411FA1,NA,NA,Raw,
U412,S412FA1,NA,NA,Raw,
U413,S413FA1,NA,NA,Raw,
U414,S414FA1,NA,NA,Raw,
U415,S415FA1,NA,NA,Raw,
U416,S416FA1,NA,NA,Raw,
U417,S417FA1,NA,NA,Raw,
U418,S418FA1,NA,NA,Raw,
U419,S419FA1,NA,NA,Raw,
U420,S420FA1,NA,NA,Raw,
U421,S421FA1,NA,NA,Raw,
U422,S422FA1,NA,NA,Raw,
U423,S423FA1,NA,NA,Raw,
U424,S424FA1,NA,NA,Raw,
U425,S425FA1,NA,NA,Raw,
U426,S426FA1,NA,NA,Raw,
U427,S427FA1,NA,NA,Raw,
U428,S428FA1,NA,NA,Raw,
U429,S429FA1,NA,NA,Raw,
U430,S430FA1,NA,NA,Raw,
U431,S431FA1,NA,NA,Raw,
U432,S432FA1,NA,NA,Raw,
U433,S433FA1,NA,NA,Raw,
U434,S434FA1,NA,NA,Raw,
U435,S435FA1,NA,NA,Raw,
U436,S436FA1,NA,NA,Raw,
U437,S437FA1,NA,NA,Raw,
U438,S438FA1,NA,NA,Raw,
