ufn,sample_id,date_liced,lab_count_fine_no_id,lab_count_fine_total,lep_cop,lep_cunifer_cop,lep_chal_a,lep_chal_b,lep_pa_m_1,lep_pa_m_2,lep_pa_f_1,lep_pa_f_2,lep_pa_unid,lep_a_m,lep_a_f,lep_grav_f,cal_cop,cal_chal_a_1,cal_chal_a_2,cal_chal_b_3,cal_chal_b_4_f,cal_chal_b_4_m,cal_chal_4_unid,cal_chal_a_unid,cal_chal_b_unid,cal_pa_m,cal_pa_f,cal_a_m,cal_a_f,cal_grav_f,cal_mot_unid,unid_louse,lab_staff,comments,quality_level,quality_log
U929,S929SL1,2016-11-15,11,10,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,0,1,0,0,0,0,1,0,1,0,0,LP,Cal C4 UNID missing tail,Raw,NA
U997,S997SL1,2016-11-15,4,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U273,S273SL1,2016-11-17,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U357,S357SL1,2016-11-17,16,15,0,0,1,0,0,0,0,0,0,0,0,0,0,5,2,3,0,2,1,0,0,1,0,0,0,0,0,0,LP,NA,Raw,NA
U394,S394SL1,2016-11-17,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,2,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U331,S331SL1,2016-11-17,12,13,0,0,2,0,0,0,0,0,0,0,0,0,2,0,3,2,1,1,0,0,0,0,1,1,0,0,0,0,LP,NA,Raw,NA
U1216,S1216SL1,2016-11-17,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U1296,S1296SL1,2016-11-17,9,9,0,0,1,0,0,0,0,0,0,0,0,0,1,3,0,2,2,0,0,0,0,0,0,0,0,0,0,0,LP,NA,Raw,NA
U495,S495SL1,2016-11-17,11,10,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,1,3,0,0,0,0,0,1,0,0,0,0,0,LP,NA,Raw,NA
U478,S478SL1,2016-11-17,13,12,0,0,1,0,0,0,0,0,0,0,0,0,4,3,2,1,0,0,0,0,0,0,0,1,0,0,0,0,LP,NA,Raw,NA
