seine_id,survey_id,set_number,set_type,lat,long,set_time,time_searching,set_sliders,set_poppers,set_dimpling,fish_retained,so_taken,so_total,pi_taken,pi_total,cu_taken,cu_total,co_taken,co_total,he_taken,he_total,ck_taken,ck_total,collection_protocol,seine_comments,qc_log
DE100N2,DE100,2,targeted,NA,NA,NA,NA,NA,NA,NA,no,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,No sockeye in set; did not enumerate,
DE100N1,DE100,1,targeted,NA,NA,NA,NA,NA,NA,NA,no,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,No sockeye in set; did not enumerate,
DE100N3,DE100,3,targeted,49.9613,-124.747,2015-05-12 11:40:00 PDT,40,NA,NA,NA,yes,30,NA,0,0,10,NA,1,NA,2,NA,NA,NA,SEMSP,NA,
DE101N1,DE101,1,targeted,50.07902,-124.8509,2015-05-13 09:49:00 PDT,NA,NA,NA,NA,yes,30,400,0,0,10,40,0,0,0,0,NA,NA,SEMSP,NA,
DE102N1,DE102,1,targeted,49.99932,-125.1395,2015-05-14 07:38:00 PDT,NA,NA,NA,NA,yes,30,300,0,0,0,0,0,0,7,10,NA,NA,SEMSP,NA,
DE103N1,DE103,1,targeted,50.16142,-124.8842,2015-05-15 07:50:00 PDT,NA,NA,NA,NA,yes,30,200,1,1,5,6,0,0,0,0,NA,NA,SEMSP,NA,
DE104N1,DE104,1,targeted,50.08007,-124.8511,2015-05-15 10:21:00 PDT,NA,NA,NA,NA,yes,30,300,0,0,10,10,0,0,1,1,NA,NA,SEMSP,NA,
DE105N1,DE105,1,targeted,50.11842,-125.07512,2015-05-15 13:28:00 PDT,NA,NA,NA,NA,yes,30,40,0,0,10,20,0,0,2,2,NA,NA,SEMSP,NA,
DE106N1,DE106,1,targeted,50.08005,-125.2468,2015-05-16 08:00:00 PDT,NA,NA,NA,NA,yes,30,600,2,2,10,1000,4,4,0,0,NA,NA,SEMSP,NA,
DE107N1,DE107,1,targeted,50.16412,-125.1602,2015-05-16 12:30:00 PDT,NA,NA,NA,NA,yes,30,500,1,1,10,300,1,1,10,10,NA,NA,SEMSP,NA,
DE108N1,DE108,1,targeted,50.08123,-124.8549,2015-05-17 09:00:00 PDT,NA,NA,NA,NA,yes,8,8,0,0,10,90,0,0,0,0,NA,NA,SEMSP,NA,
DE109N1,DE109,1,targeted,50.11405,-125.0787,2015-05-18 07:30:00 PDT,NA,NA,NA,NA,yes,30,70,0,0,1,10,0,0,2,2,NA,NA,SEMSP,NA,
DE110N1,DE110,1,targeted,50.1659,-124.8888,2015-05-18 11:30:00 PDT,NA,NA,NA,NA,yes,6,6,1,1,10,30,0,0,0,0,NA,NA,SEMSP,NA,
DE111N1,DE111,1,targeted,50.34273,-125.0841,2015-05-19 10:30:00 PDT,NA,NA,NA,NA,yes,30,200,2,2,10,100,2,6,5,10,NA,NA,SEMSP,"Fish moved by jug from net to buckets (30 sockeye in one 5 gallon pale; 50 total chum, pink, herring, coho in a second five gallon pale and two aquaria) to avoid net collapse on fish during onshore wind.",
DE112N1,DE112,1,targeted,50.30787,-125.3293,2015-05-20 08:00:00 PDT,NA,NA,NA,NA,yes,30,200,0,0,10,30,1,1,10,30,NA,NA,SEMSP,NA,
DE114N1,DE114,1,targeted,50.13705,-125.1175,2015-05-21 09:45:00 PDT,30,NA,NA,NA,yes,3,3,5,5,10,30,1,5,0,0,NA,NA,SEMSP,"Coho: 4 out of 5 in net too large for Whirl-Pak, not taken.",
DE115N1,DE115,1,targeted,NA,NA,NA,NA,NA,NA,NA,no,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,No sockeye in set; did not enumerate,
DE115N2,DE115,2,targeted,50.18217,-125.1493,2015-05-21 13:00:00 PDT,17,NA,NA,NA,yes,30,200,8,10,10,50,1,1,0,0,NA,NA,SEMSP,First set (40 fish) released due to net collapse. Second set targeted different school.,
DE116N1,DE116,1,targeted,50.31962,-125.0395,2015-05-23 07:00:00 PDT,9,NA,NA,NA,yes,29,29,0,0,10,40,1,2,1,1,NA,NA,SEMSP,NA,
DE117N1,DE117,1,targeted,50.44365,-125.279,2015-05-23 10:15:00 PDT,20,NA,NA,NA,yes,30,3000,2,10,2,100,0,0,1,10,NA,NA,SEMSP,NA,
DE120N1,DE120,1,targeted,NA,NA,NA,NA,NA,NA,NA,no,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,No sockeye in set; did not enumerate,
DE120N2,DE120,2,targeted,50.34655,-125.45602,2015-05-24 08:40:00 PDT,25,NA,NA,NA,yes,30,200,0,0,10,300,1,1,6,10,NA,NA,SEMSP,NA,
DE121N1,DE121,1,targeted,50.30723,-125.33345,2015-05-24 12:10:00 PDT,47,NA,NA,NA,yes,30,200,2,2,4,4,0,0,1,1,NA,NA,SEMSP,NA,
DE124N1,DE124,1,targeted,50.3153,-125.05186,2015-05-25 07:35:00 PDT,0,NA,NA,NA,yes,30,200,0,0,10,40,0,0,0,0,NA,NA,SEMSP,NA,
DE125N1,DE125,1,targeted,NA,NA,2015-05-25 10:23:00 PDT,22,NA,NA,NA,no,0,0,0,0,0,0,0,0,0,0,NA,NA,SEMSP,"Set on 1 slider, no catch",
DE128N3,DE128,3,targeted,NA,NA,NA,NA,NA,NA,NA,no,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,No sockeye in set; did not enumerate,
DE128N2,DE128,2,targeted,NA,NA,NA,NA,NA,NA,NA,no,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,No sockeye in set; did not enumerate,
DE128N1,DE128,1,targeted,NA,NA,NA,NA,NA,NA,NA,no,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,No sockeye in set; did not enumerate,
DE128N4,DE128,4,targeted,50.44466,-125.2804,2015-05-26 08:45:00 PDT,97,NA,NA,NA,yes,30,200,0,0,5,10,1,1,1,2,NA,NA,SEMSP,NA,
DE130N1,DE130,1,targeted,50.30795,-125.32452,2015-05-26 12:29:00 PDT,11,NA,NA,NA,yes,30,40,0,0,10,10,0,0,0,0,NA,NA,SEMSP,NA,
DE137N1,DE137,1,targeted,50.44941,-125.33027,2015-05-28 06:45:00 PDT,28,NA,NA,NA,yes,30,30,0,0,5,10,0,0,1,1,NA,NA,SEMSP,NA,
DE138N1,DE138,1,targeted,NA,NA,2015-05-28 09:55:00 PDT,33,NA,NA,NA,no,0,0,0,0,0,0,0,6,0,0,NA,NA,SEMSP,"CO = 6 total, released",
DE139N1,DE139,1,targeted,50.30884,-125.32275,2015-05-28 11:10:00 PDT,10,NA,NA,NA,yes,30,200,0,0,10,10,0,0,3,3,NA,NA,SEMSP,NA,
DE140N1,DE140,1,targeted,50.10015,-125.27265,2015-05-30 10:19:00 PDT,36,NA,NA,NA,yes,30,40,0,0,10,200,0,0,0,0,NA,NA,SEMSP,NA,
DE143N1,DE143,1,targeted,50.31763,-125.04942,2015-05-31 06:25:00 PDT,5,NA,NA,NA,yes,2,2,1,1,10,60,0,0,0,0,NA,NA,SEMSP,NA,
DE145N1,DE145,1,targeted,50.06119,-124.87916,2015-05-31 09:32:00 PDT,22,NA,NA,NA,no,0,0,0,0,0,10,0,10,0,0,NA,NA,SEMSP,NA,
DE146N1,DE146,1,targeted,NA,NA,2015-05-31 10:49:00 PDT,16,NA,NA,NA,no,0,0,0,0,0,6,0,0,0,0,NA,NA,SEMSP,"CU = 6 total, released",
DE148N1,DE148,1,targeted,NA,NA,2015-05-31 13:04:00 PDT,30,NA,NA,NA,no,0,0,0,0,0,0,0,0,0,0,NA,NA,SEMSP,bycatch 200 squuid,
DE149N1,DE149,1,targeted,50.44527,-125.2774,2015-06-01 06:34:00 PDT,4,NA,NA,NA,yes,30,800,0,0,0,2,1,1,1,1,NA,NA,SEMSP,NA,
DE150N2,DE150,2,targeted,NA,NA,NA,NA,NA,NA,NA,no,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SEMSP,No sockeye in set; did not enumerate,
