survey_id,survey_date,site_id,crew,precip,cloud_cover,sea_state,wind_speed,wind_direction,tide_state,survey_time_start,survey_time_end,net_sets,secchi,ysi_bout,ctd_bout,zoop_bout,survey_type,survey_comments
DE99,2015-05-10,D07,"Brett Johnson, Luke Rogers",NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,non-standard,Circumnavigation of Quadra. No formal data recorded.
DE100,2015-05-12,D01,"Carolyn Knapper, Kristi Inman, Brett Johnson, Ben Millard-Martin, Luke Rogers",none,25,3,10-15,NW,NA,NA,NA,3,8.7,1,NA,NA,standard,NA
DE101,2015-05-13,D02,"Carolyn Knapper, Brett Johnson, Ben Millard-Martin, Luke Rogers",none,100,0,0,NA,NA,NA,NA,1,12.1,1,NA,NA,standard,NA
DE102,2015-05-14,D04,"Carolyn Knapper, Ben Millard-Martin, Luke Rogers",none,100,1,0.1-5,NW,NA,NA,NA,1,8.5,1,NA,NA,standard,NA
DE103,2015-05-15,D05,"Carolyn Knapper, Brett Johnson, Ben Millard-Martin, Luke Rogers",none,25,0,0,NA,NA,NA,NA,1,10.3,1,NA,1,standard,NA
DE104,2015-05-15,D02,"Carolyn Knapper, Brett Johnson, Ben Millard-Martin, Luke Rogers",none,25,0,0,NA,NA,NA,NA,1,NA,1,NA,1,standard,NA
DE105,2015-05-15,D03,"Carolyn Knapper, Brett Johnson, Ben Millard-Martin, Luke Rogers",none,25,1,0.1-5,NW,NA,NA,NA,1,7,1,NA,1,standard,NA
DE106,2015-05-16,D06,"Carolyn Knapper, Brett Johnson, Luke Rogers",none,0,0,5-10,NW,NA,NA,NA,1,NA,1,NA,1,standard,NA
DE107,2015-05-16,D07,"Carolyn Knapper, Brett Johnson, Luke Rogers",none,0,1,0.1-5,SW,NA,NA,NA,1,5,1,NA,1,standard,NA
DE108,2015-05-17,D02,"Carolyn Knapper, Brett Johnson, Luke Rogers",none,100,0,0.1-5,S,NA,NA,NA,1,11.9,1,NA,1,standard,NA
DE109,2015-05-18,D03,"Carolyn Knapper, Brett Johnson, Luke Rogers, Midoli Bresch",none,0,1,0.1-5,NW,NA,NA,NA,1,6.6,1,NA,1,standard,First problems with flowmeter observed: intermittent spinning.
DE110,2015-05-18,D05,"Carolyn Knapper, Brett Johnson, Luke Rogers, Midoli Bresch",none,0,1,0.1-5,NW,NA,NA,NA,1,NA,1,NA,1,standard,NA
DE111,2015-05-19,D08,"Brett Johnson, Luke Rogers, Kristi Inman, Samantha Crowley",none,0,1,5-10,NW,NA,NA,NA,1,6.1,1,NA,1,standard,NA
DE112,2015-05-20,D09,"Brett Johnson, Luke Rogers, Kristi Inman, Samantha Crowley",none,0,1,0.1-5,E,NA,NA,NA,1,11.4,1,NA,1,standard,Salmon Farms: Brent Island NA; Venture Point 12 pens stocked; Okisolo Channel no nets in pens; Barnes Bay no nets in pens.
DE113,2015-05-21,D02,"Carolyn Knapper, Luke Rogers, Kristi Inman, Samantha Crowley",none,0,3,0.1-5,NW,NA,NA,NA,0,NA,NA,NA,NA,standard,From LR logbook
DE114,2015-05-21,D03,"Carolyn Knapper, Luke Rogers, Kristi Inman, Samantha Crowley",none,0,1,0.1-5,NW,NA,NA,NA,1,4.6,1,NA,1,standard,NA
DE115,2015-05-21,D07,"Carolyn Knapper, Luke Rogers, Kristi Inman, Samantha Crowley",none,0,2,10-15,NE,NA,NA,NA,2,4.2,1,NA,1,standard,NA
DE116,2015-05-23,D08,"Carolyn Knapper, Luke Rogers, Brett Johnson",none,100,1,0,NA,NA,NA,NA,1,8.7,1,NA,1,standard,NA
DE117,2015-05-23,D10,"Carolyn Knapper, Luke Rogers, Brett Johnson",none,50,1,0.1-5,NW,NA,NA,NA,1,11,1,NA,1,standard,NA
DE118,2015-05-23,D04,"Carolyn Knapper, Luke Rogers, Brett Johnson",none,0,1,0.1-5,SE,NA,NA,NA,0,NA,NA,NA,NA,standard,From LR logbook
DE119,2015-05-23,D06,"Carolyn Knapper, Luke Rogers, Brett Johnson",none,25,1,0.1-5,SE,NA,NA,NA,0,NA,NA,NA,NA,standard,From LR logbook
DE120,2015-05-24,D11,"Carolyn Knapper, Luke Rogers, Brett Johnson, Katie Chan",none,50,1,5-10,W,NA,NA,NA,2,9.8,1,NA,1,standard,NA
DE121,2015-05-24,D09,"Carolyn Knapper, Luke Rogers, Brett Johnson, Katie Chan",none,0,1,0.1-5,SW,NA,NA,NA,1,13.9,1,NA,1,standard,NA
DE122,2015-05-24,D07,"Carolyn Knapper, Luke Rogers, Brett Johnson, Katie Chan",none,0,1,0.1-5,N,NA,NA,NA,0,NA,NA,NA,NA,standard,NA
DE123,2015-05-25,D03,"Luke Rogers, Brett Johnson, Kristi Inman, Katie Chan",none,100,1,0.1-5,NW,NA,NA,NA,0,NA,NA,NA,NA,standard,NA
DE124,2015-05-25,D08,"Luke Rogers, Brett Johnson, Kristi Inman, Katie Chan",none,100,2,5-10,W,NA,NA,NA,1,7.3,1,NA,1,standard,NA
DE125,2015-05-25,D05,"Luke Rogers, Brett Johnson, Kristi Inman, Katie Chan",none,100,2,5-10,NW,NA,NA,NA,1,NA,NA,NA,NA,standard,"Set on 1 slider, no catch"
DE126,2015-05-25,D02,"Luke Rogers, Brett Johnson, Kristi Inman, Katie Chan",none,50,1,0.1-5,NW,NA,NA,NA,0,NA,NA,NA,NA,standard,NA
DE127,2015-05-25,D01,"Luke Rogers, Brett Johnson, Kristi Inman, Katie Chan",none,25,2,5-10,W,NA,NA,NA,0,NA,NA,NA,NA,standard,NA
DE128,2015-05-26,D10,"Luke Rogers, Carolyn Knapper, Kristi Inman",none,100,1,0.1-5,NW,NA,NA,NA,4,9.9,1,NA,1,standard,NA
DE129,2015-05-26,D11,"Luke Rogers, Carolyn Knapper, Kristi Inman",none,0,2,10-15,W,NA,NA,NA,0,NA,NA,NA,NA,standard,NA
DE130,2015-05-26,D09,"Luke Rogers, Carolyn Knapper, Kristi Inman",none,0,1,0.1-5,W,NA,NA,NA,1,12.9,1,NA,1,standard,Nordic Queen (Chrys Neville's DFO chartered commercial seiner) set 500 m W of us 1.5 hours after our set.
DE131,2015-05-27,D08,"Carolyn Knapper, Luke Rogers, Kristi Inman",none,50,1,0.1-5,NW,NA,NA,NA,0,NA,NA,NA,NA,standard,NA
DE132,2015-05-27,D05,"Carolyn Knapper, Luke Rogers, Kristi Inman",none,25,1,0.1-5,N,NA,NA,NA,0,NA,NA,NA,NA,standard,NA
DE133,2015-05-27,D02,"Carolyn Knapper, Luke Rogers, Kristi Inman",none,25,1,0.1-5,NW,NA,NA,NA,0,NA,NA,NA,NA,standard,NA
DE134,2015-05-27,D01,"Carolyn Knapper, Luke Rogers, Kristi Inman",none,0,1,0.1-5,NW,NA,NA,NA,0,NA,NA,NA,NA,standard,NA
DE135,2015-05-27,D03,"Carolyn Knapper, Luke Rogers, Kristi Inman",none,0,1,0.1-5,NW,NA,NA,NA,0,NA,NA,NA,NA,standard,NA
DE136,2015-05-27,D07,"Carolyn Knapper, Luke Rogers, Kristi Inman",none,0,2,0.1-5,N,NA,NA,NA,0,NA,NA,NA,NA,standard,NA
DE137,2015-05-28,D10,"Luke Rogers, Brett Johnson, Kristi Inman, Donnah MacKinnon",none,100,1,0.1-5,NW,NA,NA,NA,1,9.3,1,NA,1,standard,NA
DE138,2015-05-28,D11,"Luke Rogers, Brett Johnson, Kristi Inman, Donnah MacKinnon",none,0,2,5-10,W,NA,NA,NA,1,NA,NA,NA,NA,standard,NA
DE139,2015-05-28,D09,"Luke Rogers, Brett Johnson, Kristi Inman, Donnah MacKinnon",none,0,1,NA,NA,NA,NA,NA,1,14.3,1,NA,1,standard,NA
DE140,2015-05-30,D06,"Luke Rogers, Kristi Inman, Donnah MacKinnon",none,0,2,5-10,NW,NA,NA,NA,1,13.2,1,NA,1,standard,NA
DE141,2015-05-30,D04,"Luke Rogers, Kristi Inman, Donnah MacKinnon",none,0,1,0.1-5,SE,NA,NA,NA,0,NA,NA,NA,NA,standard,NA
DE142,2015-05-30,D03,"Luke Rogers, Kristi Inman, Donnah MacKinnon",none,0,1,0.1-5,SE,NA,NA,NA,0,NA,NA,NA,NA,standard,NA
DE143,2015-05-31,D08,"Brett Johnson, Luke Rogers, Carolyn Knapper",none,25,1,0.1-5,NW,NA,NA,NA,1,11,1,NA,1,standard,Salmon Farms: Raza Island 10 pens stocked.
DE144,2015-05-31,D05,"Brett Johnson, Luke Rogers, Carolyn Knapper",none,25,0,0,NA,NA,NA,NA,0,NA,NA,NA,NA,standard,NA
