"","database_column","display_column","type","unique_values","variable_units","variable_definition","variable_calculations"
"1","seine_id","Seine ID","text",NA,NA,"Unique ID assigned to each seine conducted",NA
"2","date","Date","date",NA,NA,NA,NA
"3","site_id","Site ID","text",NA,NA,NA,NA
"4","hakai_id","Hakai ID","text",NA,NA,NA,NA
"5","jsp_survey_id","JSP Survey ID","text",NA,NA,"A unique survey ID assigned to every survey",NA
"6","cal_cope_field","Caligus Copepodid (field)","numeric",NA,NA,"Field enumeration of Caligus clemensi (Cal.) sea lice, copepodid life stage",NA
"7","lep_cope_field","Lep Copepodid (field)","numeric",NA,NA,"Field enumeration of Lepeophtheirus salmonis (Lep.) sea lice, copepodid life stage",NA
"8","chal_a_field","Chalimus A (field)","numeric",NA,NA,"Field enumeration of combined Cal. and Lep. sea lice, chalimus A life stage",NA
"9","chal_b_field","Chalibus B (field)","numeric",NA,NA,"Field enumeration of combined Cal. and Lep. sea lice, chalimus B life stage",NA
"10","cal_mot_field","Caligus Motile (field)","numeric",NA,NA,"Field enumeration of motile Cal. sea lice, combined pre-adult and adult life stages and both sexes (non-gravid females only)",NA
"11","cgf_field","Caligus Gravid Female (field)","numeric",NA,NA,"Field enumeration of gravid Cal. sea lice",NA
"12","lpam_field","Lep Pre-adult Male (field)","numeric",NA,NA,"Field enumeration of Lep. sea lice, pre-adult males",NA
"13","lpaf_field","Lep Pre-adult Female (field)","numeric",NA,NA,"Field enumeration of Lep. sea lice, pre-adult females",NA
"14","lam_field","Lep Adult Male (field)","numeric",NA,NA,"Field enumeration of Lep. sea lice, adult males",NA
"15","laf_field","Lep Adult Female (field)","numeric",NA,NA,"Field enumeration of Lep. sea lice, adult females (non-gravid)",NA
"16","lgf_field","Lep Gravid Female (field)","numeric",NA,NA,"Field enumeration of gravid Lep. female sea lice",NA
"17","unid_cope_field","Unidentified Copepodid (field)","numeric",NA,NA,"Field enumeration of unidentifiable Cal. or Lep. sea lice, copepodid life stage",NA
"18","unid_chal_field","Unidentified Chalimus (field)","numeric",NA,NA,"Field enumeration of unidentifiable Cal. or Lep. sea lice, chalimus A and B life stages",NA
"19","chal_scar","Chalimus Scar","numeric",NA,NA,"Number of sea louse chalimus scars on fish body",NA
"20","mot_scar","Motile Scar","numeric",NA,NA,"Number of motile sea louse scars on fish body",NA
"21","pred_scar","Predator Scar","numeric",NA,NA,"Number of predator scars on fish body",NA
"22","hemorrhaging","Hemorrhaging","numeric",NA,NA,"Number of hemorrhaging areas on fish body",NA
"23","eroded_gill_plate","Eroded Gill Plate","numeric",NA,NA,"Number of eroded gill plates",NA
"24","grazed_gill_plate","Grazed Gill Plate","numeric",NA,NA,"Number of grazed gill plates",NA
"25","mate_guarding","Mate Guarding","numeric",NA,NA,"Number of sea lice exhibiting mate guarding activity",NA
"26","pinched_belly","Pinched Belly","numeric",NA,NA,"Number of occurences of a pinched belly on a fish",NA
"27","comments_fish_health_field","Comments Fish Health Field","text",NA,NA,"Description of locations of observed body abnormalities and deformities",NA
"28","licing_protocol_field","Field Licing Protocol","text",NA,"salmoncoast_field","The protocol that was followed for identifying sea lice in the field. See this link for descriptions of or sea lice identification protocols",NA
"29","cm_field",NA,"numeric",NA,NA,NA,NA
"30","cpaf_field",NA,"numeric",NA,NA,NA,NA
"31","caf_field",NA,"numeric",NA,NA,NA,NA
"32","comments","Comments","text",NA,NA,NA,NA
"33","quality_log","Quality Log","text",NA,NA,NA,NA
"34","quality_level","Quality Level","USER-DEFINED","Raw,Technician,Technicianm,Technicianr,Technicianmr,Principal Investigator,Interum,Publication,Error",NA,NA,NA
