"","database_column","display_column","type","unique_values","variable_units","variable_definition","variable_calculations"
"1","seine_id","Seine ID","text",NA,NA,"Unique ID assigned to each seine conducted",NA
"2","date","Date","date",NA,NA,NA,NA
"3","site_id","Site ID","text",NA,NA,NA,NA
"4","hakai_id","Hakai ID","text",NA,NA,NA,NA
"5","jsp_survey_id","JSP Survey ID","text",NA,NA,"A unique survey ID assigned to every survey",NA
"6","date_liced",NA,"date",NA,NA,NA,NA
"7","lab_count_fine_no_id",NA,"numeric",NA,NA,NA,NA
"8","lab_count_fine_total",NA,"numeric",NA,NA,NA,NA
"9","lep_cop",NA,"numeric",NA,NA,NA,NA
"10","lep_cunifer_cop",NA,"numeric",NA,NA,NA,NA
"11","lep_chal_a",NA,"numeric",NA,NA,NA,NA
"12","lep_chal_b",NA,"numeric",NA,NA,NA,NA
"13","lep_pa_m_1",NA,"numeric",NA,NA,NA,NA
"14","lep_pa_m_2",NA,"numeric",NA,NA,NA,NA
"15","lep_pa_f_1",NA,"numeric",NA,NA,NA,NA
"16","lep_pa_f_2",NA,"numeric",NA,NA,NA,NA
"17","lep_pa_unid",NA,"numeric",NA,NA,NA,NA
"18","lep_a_m",NA,"numeric",NA,NA,NA,NA
"19","lep_a_f",NA,"numeric",NA,NA,NA,NA
"20","lep_grav_f",NA,"numeric",NA,NA,NA,NA
"21","cal_cop",NA,"numeric",NA,NA,NA,NA
"22","cal_chal_a_1",NA,"numeric",NA,NA,NA,NA
"23","cal_chal_a_2",NA,"numeric",NA,NA,NA,NA
"24","cal_chal_b_3",NA,"numeric",NA,NA,NA,NA
"25","cal_chal_b_4_f",NA,"numeric",NA,NA,NA,NA
"26","cal_chal_b_4_m",NA,"numeric",NA,NA,NA,NA
"27","cal_chal_4_unid",NA,"numeric",NA,NA,NA,NA
"28","cal_chal_a_unid",NA,"numeric",NA,NA,NA,NA
"29","cal_chal_b_unid",NA,"numeric",NA,NA,NA,NA
"30","cal_pa_m",NA,"numeric",NA,NA,NA,NA
"31","cal_pa_f",NA,"numeric",NA,NA,NA,NA
"32","cal_a_m",NA,"numeric",NA,NA,NA,NA
"33","cal_a_f",NA,"numeric",NA,NA,NA,NA
"34","cal_grav_f",NA,"numeric",NA,NA,NA,NA
"35","cal_mot_unid",NA,"numeric",NA,NA,NA,NA
"36","unid_louse",NA,"numeric",NA,NA,NA,NA
"37","lab_staff",NA,"text",NA,NA,NA,NA
"38","analyzing_lab","Analyzing Lab","text",NA,NA,NA,NA
"39","comments","Comments","text",NA,NA,NA,NA
"40","quality_log","Quality Log","text",NA,NA,NA,NA
"41","quality_level","Quality Level","USER-DEFINED","Raw,Technician,Technicianm,Technicianr,Technicianmr,Principal Investigator,Interum,Publication,Error",NA,NA,NA
