"","database_column","display_column","type","unique_values","variable_units","variable_definition","variable_calculations"
"1","jsp_survey_id","JSP Survey ID","text",NA,NA,"A unique survey ID assigned to every survey",NA
"2","gather_long","Gather Long","double precision",NA,NA,NA,NA
"3","gather_lat","Gather Lat","double precision",NA,NA,NA,NA
"4","set_time","Set Time","time without time zone",NA,"hh:mm:ss","bunt time, i.e., when the trailing sternward end of the seine is tied onto the boat and a school of fish has been concentrated within the seine",NA
"5","site_id","Site ID","text",NA,NA,NA,NA
"6","seine_id","Seine ID","text",NA,NA,"Unique ID assigned to each seine conducted",NA
"7","set_number","Set Number","numeric",NA,NA,"the order in which the seine was deployed in a survey. ""NA"" if no sets were performed",NA
"8","set_type","Set Type","text",NA,NA,"whether the set was conducted upon an observed school of fish or in a random area where surface activity wasnt targetted. NA means we conducted a visual survey for surface activity but did not detect any fish.",NA
"9","time_searching","Time Searching","numeric",NA,"minutes","Only recorded in 2015/2016: length of time visually searching for fish before setting the net.",NA
"10","set_sliders",NA,"integer",NA,NA,NA,NA
"11","set_poppers",NA,"integer",NA,NA,NA,NA
"12","set_dimpling",NA,"integer",NA,NA,NA,NA
"13","fish_retained","Fish Retained","boolean",NA,"Yes or No","Yes = at least 1 fish had been retained from the seine. No = no fish retained (seine either failed to capture fish, or no fish were taken from a seine)",NA
"14","so_taken","Sockeye Taken","numeric",NA,NA,"number of sockeye retained in a seine. ""NA"" = net was not set because no sockeye surface activity was observed.",NA
"15","so_total","Sockeye Total","numeric",NA,NA,"total number of sockeye caught in a seine.  ""NA"" = net was not set because no sockeye surface activity was observed.",NA
"16","pi_taken","Pink Taken","numeric",NA,NA,"number of pink retained in a seine. ""NA"" = net was not set because no sockeye surface activity was observed.",NA
"17","pi_total","Pink Total","numeric",NA,NA,"total number of pink caught in a seine.  ""NA"" = net was not set because no sockeye surface activity was observed.",NA
"18","cu_taken","Chum Taken","numeric",NA,NA,"number of chum retained in a seine. ""NA"" = net was not set because no sockeye surface activity was observed.",NA
"19","cu_total","Chum Total","numeric",NA,NA,"total number of chum caught in a seine. ""NA"" = net was not set because no sockeye surface activity was observed.",NA
"20","co_taken","Coho Taken","numeric",NA,NA,"number of coho retained in a seine. ""NA"" = net was not set because no sockeye surface activity was observed.",NA
"21","co_total","Coho Total","numeric",NA,NA,"total number of coho caught in a seine. ""NA"" = net was not set because no sockeye surface activity was observed.",NA
"22","he_taken","Herring Taken","numeric",NA,NA,"number of herring retained in a seine.""NA"" = net was not set because no sockeye surface activity was observed.",NA
"23","he_total","Herring Total","numeric",NA,NA,"total number of herring caught in a seine. ""NA"" = net was not set because no sockeye surface activity was observed.",NA
"24","ck_taken","Chinook Taken","numeric",NA,NA,"number of chinook retained in a seine. """"NA"" = net was not set because no sockeye surface activity was observed.",NA
"25","ck_total","Chinook Total","numeric",NA,NA,"total number of chinook caught in a seine. ""NA"" = net was not set because no sockeye surface activity was observed.",NA
"26","preservation_status","Preservation Status","smallint",NA,"0 or 1","0 = one or more samples from this seine were improperly preserved in the dewar (dewar likely thawed, warming up the samples and degrading their quality). 1 = all samples were properly preserved.",NA
"27","collection_protocol","Collection Protocol","text",NA,"DFO, GM, SEMSP, SJUBC","SEMSP refers to standard Hakai field protocol. DFO refers to collection aboard the Nordic Queen purse seiner. SJUBC refers to Sam James UBC for diel feeding study fish collection. GM refers to Gideon Mordecai for fish that were targetted for collection because they appeared sick.",NA
"28","seine_notes",NA,"text",NA,NA,NA,NA
