year,species,n,proportion
2015,co_total,123,0.003467034980409843
2015,cu_total,13426,0.3784423711136793
2015,he_total,327,0.009217239338162753
2015,pi_total,2548,0.07182117991938439
2015,so_total,19053,0.5370521746483637
2016,co_total,155,0.005629608106635674
2016,cu_total,5782,0.21000254240366106
2016,he_total,124,0.004503686485308539
2016,pi_total,5496,0.19961500744561073
2016,so_total,15976,0.580249155558784
2017,co_total,222,0.017552182163187855
2017,cu_total,8362,0.6611321948134092
2017,he_total,104,0.008222643896268185
2017,pi_total,147,0.011622390891840606
2017,so_total,3813,0.3014705882352941
2018,co_total,179,0.006199993072633438
2018,cu_total,9475,0.32818399085587613
2018,he_total,633,0.021925115167469086
2018,pi_total,14829,0.5136295937099512
2018,so_total,3755,0.13006130719407016
2019,co_total,83,0.003202407593178486
2019,cu_total,6966,0.2687707384829076
2019,he_total,152,0.005864650050158191
2019,pi_total,8365,0.3227486688787715
2019,so_total,10352,0.39941353499498417
2020,co_total,17,0.002533532041728763
2020,cu_total,262,0.03904619970193741
2020,he_total,8,0.0011922503725782414
2020,pi_total,3678,0.5481371087928465
2020,so_total,2745,0.4090909090909091
