hkg_Alert,Unique,ufn,Alternate,Prog,Species,Trip,Location,SWFW,Gear,Year,Date,SEASON1,Stock,Histology,SmAd,HW,HatcheryWild,Set,STATION,STATION_NAME,Length,Mass,Sex,Comments,Comments2,Dissection Comments,catch_R,Catch_Sub_region,Catch_Region,Latitude,Longitude,Unique1,Tissue,LOD,Value,ae_sal,Arena1,arena2,ascv,c_b_cys,ce_sha,cov,cr_sal,ctv,de_sal,fa_mar,fl_psy,hkg,ic_hof,ic_mul,ihnv,ku_thy,lo_sal,mitov,my_arc,my_ins,na_sal,ne_per,ortho,pa_kab,pa_min,pa_pse,pa_ther,pch_sal,pisck_sal,prv,pspv,re_sal,reov,rlo,sch,SGPV,smallUK,sp_des,te_bry,te_mar,toti,ven,ver,vhsv,vi_ang,vi_sal,ye_ruc_glnA
OK,2015-0047-108-2513,U2513,2015-06-07-D07-PI-6,Hakai,Pink,2015 Hakai Collections,,SW,,2015,2015-06-07,Summer,,,Smolt,,Wild,2015-0047-S-67,D07,Hoskyn Channel,,,,At Hakai Quadra,,,P013,DI,VIN,50.190769,-125.143142,2015-0047-108-2513,Mixed,NO,AvgCT,999,999,999,999,999,999,999,999,999,999,999,999,12.44963396,999,999,999,22.51886011,999,999,999,999,999,999,999,999,999,999,22.90047513,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
OK,2015-0047-108-2514,U2514,2015-06-22-D09-PI-4,Hakai,Pink,2015 Hakai Collections,,SW,,2015,2015-06-22,Summer,,,Smolt,,Wild,2015-0047-S-109,D09,Okisollo Channel,,,,At Hakai Quadra,,,P013,DI,VIN,50.307276,-125.329834,2015-0047-108-2514,Mixed,NO,AvgCT,999,999,999,999,999,999,999,999,999,999,999,999,11.39148028,999,999,999,999,999,999,999,999,999,999,999,999,999,18.00121757,28.13044523,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
OK,2015-0047-108-2515,U2515,2015-06-22-D09-PI-2,Hakai,Pink,2015 Hakai Collections,,SW,,2015,2015-06-22,Summer,,,Smolt,,Wild,2015-0047-S-109,D09,Okisollo Channel,,,,At Hakai Quadra,,,P013,DI,VIN,50.307276,-125.329834,2015-0047-108-2515,Mixed,NO,AvgCT,999,999,999,999,17.75841966,999,999,999,999,999,999,999,12.30194897,999,999,999,25.3419157,999,999,999,999,999,999,999,999,999,999,25.6413761,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
OK,2015-0047-108-2516,U2516,2015-06-22-D09-PI-1,Hakai,Pink,2015 Hakai Collections,,SW,,2015,2015-06-22,Summer,,,Smolt,,Wild,2015-0047-S-109,D09,Okisollo Channel,,,,At Hakai Quadra,,,P013,DI,VIN,50.307276,-125.329834,2015-0047-108-2516,Mixed,NO,AvgCT,999,999,999,999,999,999,999,999,999,999,999,999,13.06913954,999,999,999,999,999,999,999,999,999,999,999,20.8652781,999,20.2172491,26.7572982,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
OK,2015-0047-108-2517,U2517,2015-06-09-D07-PI-1,Hakai,Pink,2015 Hakai Collections,,SW,,2015,2015-06-09,Summer,,,Smolt,,Wild,2015-0047-S-77,D07,Hoskyn Channel,,,,At Hakai Quadra,,,P013,DI,VIN,50.190769,-125.143142,2015-0047-108-2517,Mixed,NO,AvgCT,999,999,999,999,999,999,999,999,999,999,999,999,10.69300967,999,999,999,999,999,999,999,999,999,999,999,999,999,28.08974748,22.258185,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
OK,2015-0047-108-2518,U2518,2015-06-23-J09-PI-9,Hakai,Pink,2015 Hakai Collections,,SW,,2015,2015-06-23,Summer,,,Smolt,,Wild,2015-0047-S-111,J09,Blinkhorn Peninsula,,,,At Hakai Quadra,,,P012,JS,VIN,50.544011,-126.814611,2015-0047-108-2518,Mixed,NO,AvgCT,999,999,999,999,999,999,999,999,999,999,999,999,12.35059823,-999,999,999,999,999,999,999,999,999,999,999,18.32369529,999,20.52923584,27.04693553,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
OK,2015-0047-108-2519,U2519,2015-06-23-J09-PI-1,Hakai,Pink,2015 Hakai Collections,,SW,,2015,2015-06-23,Summer,,,Smolt,,Wild,2015-0047-S-111,J09,Blinkhorn Peninsula,,,,At Hakai Quadra,,,P012,JS,VIN,50.544011,-126.814611,2015-0047-108-2519,Mixed,NO,AvgCT,999,999,999,999,999,999,999,999,999,999,999,999,13.15648831,999,999,999,999,999,999,999,999,999,999,999,20.3258178,27.96202927,21.63186032,25.93681631,999,999,999,999,999,999,999,24.71234141,999,999,999,999,999,999,999,999,999,999,999,999
OK,2015-0047-108-2520,U2520,2015-06-23-J09-PI-3,Hakai,Pink,2015 Hakai Collections,,SW,,2015,2015-06-23,Summer,,,Smolt,,Wild,2015-0047-S-111,J09,Blinkhorn Peninsula,,,,At Hakai Quadra,,,P012,JS,VIN,50.544011,-126.814611,2015-0047-108-2520,Mixed,NO,AvgCT,999,999,999,999,999,999,999,999,999,999,999,999,12.21478072,26.56893708,999,999,999,999,999,999,999,999,999,999,24.18780327,999,18.81629137,25.95841642,999,999,999,999,999,999,999,28.47941176,999,999,999,999,999,999,999,999,999,999,999,999
OK,2015-0047-108-2521,U2521,2015-06-16-J09-PI-4,Hakai,Pink,2015 Hakai Collections,,SW,,2015,2015-06-16,Summer,,,Smolt,,Wild,2015-0047-S-92,J09,Blinkhorn Peninsula,,,,At Hakai Quadra,,,P012,JS,VIN,50.544011,-126.814611,2015-0047-108-2521,Mixed,NO,AvgCT,999,999,999,999,999,999,999,999,999,999,999,999,11.67954347,999,999,999,999,999,999,999,999,999,999,999,22.48379821,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
OK,2015-0047-108-2522,U2522,2015-06-16-J09-PI-9,Hakai,Pink,2015 Hakai Collections,,SW,,2015,2015-06-16,Summer,,,Smolt,,Wild,2015-0047-S-92,J09,Blinkhorn Peninsula,,,,At Hakai Quadra,,,P012,JS,VIN,50.544011,-126.814611,2015-0047-108-2522,Mixed,NO,AvgCT,999,999,999,999,999,999,999,999,999,999,999,999,11.19007318,24.52901921,999,999,999,999,999,999,999,999,999,999,21.35310007,999,16.29053437,25.04377517,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
