year,region,species,n,q1,median,q3,Spread
2015 - 2020,DI,CU,3707.8333333333335,158,166.83333333333334,175.5,8.833333333333334
2015 - 2020,DI,PI,3745.5,156,166.66666666666666,166.66666666666666,10.666666666666666
2015 - 2020,DI,SO,4167.5,145,146,153.33333333333334,1
2015 - 2019,JS,CU,4032.6,161,168,176.6,7
2015 - 2019,JS,PI,1837.8,167,173.5,174.5,6.5
2015 - 2019,JS,SO,5310.8,152.6,155,165.2,2.4
2015,DI,CU,3966,154,156,173,2
2015,DI,PI,188,NA,NA,NA,NA
2015,DI,SO,8253,143,143,152,0
2015,JS,CU,9460,160,167,170,7
2015,JS,PI,2360,NA,NA,NA,NA
2015,JS,SO,10800,146,149,164,3
2016,DI,CU,2138,153,166,166,13
2016,DI,PI,2677,153,166,166,13
2016,DI,SO,7796,144,148,155,4
2016,JS,CU,3644,153,161,175,8
2016,JS,PI,2819,169,175,175,6
2016,JS,SO,8180,153,154,169,1
2017,DI,CU,5310,164,177,185,13
2017,DI,PI,40,NA,NA,NA,NA
2017,DI,SO,1480,156,158,158,2
2017,JS,CU,3052,171,178,179,7
2017,JS,PI,107,NA,NA,NA,NA
2017,JS,SO,2333,157,165,172,8
2018,DI,CU,6814,158,163,171,5
2018,DI,PI,11115,158,163,163,5
2018,DI,SO,2406,143,143,155,0
2018,JS,CU,2661,165,172,174,7
2018,JS,PI,3714,165,172,174,7
2018,JS,SO,1349,158,158,172,0
2019,DI,CU,3757,162,171,183,9
2019,DI,PI,4775,NA,NA,NA,NA
2019,DI,SO,2325,141,141,147,0
2019,JS,CU,1346,156,162,185,6
2019,JS,PI,189,NA,NA,NA,NA
2019,JS,SO,3892,149,149,149,0
2020,DI,CU,262,157,168,175,11
2020,DI,PI,3678,157,171,171,14
2020,DI,SO,2745,143,143,153,0
