ufn,survey_date,site_id,species,louse_species,n_lice,year,region
U2912,2015-05-16,D07,CU,motile_caligus,0,2015,DI
U2828,2015-05-16,D07,CU,motile_caligus,1,2015,DI
U2827,2015-05-16,D07,CU,motile_caligus,1,2015,DI
U2830,2015-05-16,D07,CU,motile_caligus,0,2015,DI
U2635,2015-05-16,D07,CU,motile_caligus,1,2015,DI
U1396,2015-05-16,D07,PI,motile_caligus,0,2015,DI
U312,2015-05-16,D07,SO,motile_caligus,0,2015,DI
U292,2015-05-16,D07,SO,motile_caligus,1,2015,DI
U302,2015-05-16,D07,SO,motile_caligus,0,2015,DI
U295,2015-05-16,D07,SO,motile_caligus,1,2015,DI
U294,2015-05-16,D07,SO,motile_caligus,0,2015,DI
U293,2015-05-16,D07,SO,motile_caligus,2,2015,DI
U301,2015-05-16,D07,SO,motile_caligus,0,2015,DI
U303,2015-05-16,D07,SO,motile_caligus,2,2015,DI
U311,2015-05-16,D07,SO,motile_caligus,0,2015,DI
U313,2015-05-16,D07,SO,motile_caligus,0,2015,DI
U4976,2015-05-19,D08,CU,motile_caligus,0,2015,DI
U4973,2015-05-19,D08,CU,motile_caligus,0,2015,DI
U4975,2015-05-19,D08,CU,motile_caligus,1,2015,DI
U4978,2015-05-19,D08,CU,motile_caligus,0,2015,DI
U4171,2015-05-19,D08,CU,motile_caligus,0,2015,DI
U4977,2015-05-19,D08,CU,motile_caligus,0,2015,DI
U4172,2015-05-19,D08,CU,motile_caligus,0,2015,DI
U4972,2015-05-19,D08,CU,motile_caligus,0,2015,DI
U4974,2015-05-19,D08,CU,motile_caligus,0,2015,DI
U230,2015-05-19,D08,SO,motile_caligus,1,2015,DI
U273,2015-05-19,D08,SO,motile_caligus,0,2015,DI
U286,2015-05-19,D08,SO,motile_caligus,0,2015,DI
U285,2015-05-19,D08,SO,motile_caligus,0,2015,DI
U272,2015-05-19,D08,SO,motile_caligus,0,2015,DI
U274,2015-05-19,D08,SO,motile_caligus,1,2015,DI
U281,2015-05-19,D08,SO,motile_caligus,0,2015,DI
U284,2015-05-19,D08,SO,motile_caligus,0,2015,DI
U4751,2015-05-19,D08,SO,motile_caligus,1,2015,DI
U4705,2015-05-19,D08,SO,motile_caligus,0,2015,DI
U4831,2015-05-19,D08,SO,motile_caligus,2,2015,DI
U4828,2015-05-19,D08,SO,motile_caligus,0,2015,DI
U4830,2015-05-19,D08,SO,motile_caligus,0,2015,DI
U4704,2015-05-19,D08,SO,motile_caligus,0,2015,DI
U4750,2015-05-19,D08,SO,motile_caligus,0,2015,DI
U4706,2015-05-19,D08,SO,motile_caligus,0,2015,DI
U4862,2015-05-19,D08,SO,motile_caligus,0,2015,DI
U4829,2015-05-19,D08,SO,motile_caligus,0,2015,DI
U3122,2015-05-20,D09,CU,motile_caligus,0,2015,DI
U3108,2015-05-20,D09,CU,motile_caligus,0,2015,DI
U3121,2015-05-20,D09,CU,motile_caligus,2,2015,DI
U3126,2015-05-20,D09,CU,motile_caligus,0,2015,DI
U3111,2015-05-20,D09,CU,motile_caligus,0,2015,DI
U4802,2015-05-20,D09,SO,motile_caligus,0,2015,DI
U4780,2015-05-20,D09,SO,motile_caligus,0,2015,DI
U350,2015-05-20,D09,SO,motile_caligus,0,2015,DI
U349,2015-05-20,D09,SO,motile_caligus,2,2015,DI
U348,2015-05-20,D09,SO,motile_caligus,1,2015,DI
U357,2015-05-20,D09,SO,motile_caligus,1,2015,DI
U355,2015-05-20,D09,SO,motile_caligus,2,2015,DI
U362,2015-05-20,D09,SO,motile_caligus,0,2015,DI
U356,2015-05-20,D09,SO,motile_caligus,0,2015,DI
U363,2015-05-20,D09,SO,motile_caligus,1,2015,DI
U347,2015-05-20,D09,SO,motile_caligus,1,2015,DI
U4776,2015-05-20,D09,SO,motile_caligus,0,2015,DI
U361,2015-05-20,D09,SO,motile_caligus,0,2015,DI
U4820,2015-05-20,D09,SO,motile_caligus,0,2015,DI
U4848,2015-05-20,D09,SO,motile_caligus,0,2015,DI
U4849,2015-05-20,D09,SO,motile_caligus,1,2015,DI
U4745,2015-05-20,D09,SO,motile_caligus,0,2015,DI
U4823,2015-05-20,D09,SO,motile_caligus,0,2015,DI
U4821,2015-05-20,D09,SO,motile_caligus,0,2015,DI
U4743,2015-05-20,D09,SO,motile_caligus,1,2015,DI
U4744,2015-05-20,D09,SO,motile_caligus,0,2015,DI
U4822,2015-05-20,D09,SO,motile_caligus,0,2015,DI
U4728,2015-05-20,D09,SO,motile_caligus,0,2015,DI
U4742,2015-05-20,D09,SO,motile_caligus,0,2015,DI
U4801,2015-05-20,D09,SO,motile_caligus,0,2015,DI
U4777,2015-05-20,D09,SO,motile_caligus,1,2015,DI
U4779,2015-05-20,D09,SO,motile_caligus,0,2015,DI
U4778,2015-05-20,D09,SO,motile_caligus,0,2015,DI
U4781,2015-05-20,D09,SO,motile_caligus,2,2015,DI
U4800,2015-05-20,D09,SO,motile_caligus,0,2015,DI
U2626,2015-05-21,D07,CU,motile_caligus,1,2015,DI
U4173,2015-05-21,D07,CU,motile_caligus,1,2015,DI
U2634,2015-05-21,D07,CU,motile_caligus,2,2015,DI
U2627,2015-05-21,D07,CU,motile_caligus,0,2015,DI
