package_id,seine_id,pkg_species,n_fish,field_liced_status,preservation_status,pkg_type,pkg_comments
DP702,DE100N3,HE,2,N,OK,JSP,NA
DP701,DE100N3,CO,1,N,OK,JSP,NA
DP675,DE100N3,CU,10,N,OK,JSP,NA
DP630,DE100N3,SO,10,N,OK,JSP,NA
DP640,DE100N3,SO,10,N,OK,JSP,NA
DP846,DE101N1,CU,10,N,OK,JSP,NA
DP609,DE101N1,SO,10,N,OK,JSP,NA
DP664,DE101N1,SO,10,N,OK,JSP,NA
DP713,DE102N1,HE,7,N,OK,JSP,NA
DP638,DE102N1,SO,10,N,OK,JSP,NA
DP645,DE102N1,SO,10,N,OK,JSP,NA
DP690,DE103N1,CU,5,N,OK,JSP,NA
DP691,DE103N1,PI,1,N,OK,JSP,NA
DP642,DE103N1,SO,10,N,OK,JSP,NA
DP711,DE104N1,CU,10,N,OK,JSP,NA
DP712,DE104N1,HE,1,N,OK,JSP,NA
DP618,DE104N1,SO,10,N,OK,JSP,NA
DP650,DE104N1,SO,9,N,OK,JSP,NA
DP700,DE105N1,CU,10,N,OK,JSP,NA
DP699,DE105N1,HE,2,N,OK,JSP,NA
DP612,DE105N1,SO,8,N,OK,JSP,NA
DP643,DE105N1,SO,12,N,OK,JSP,NA
DP613,DE106N1,SO,9,N,OK,JSP,NA
DP818,DE107N1,HE,5,N,OK,JSP,NA
DP605,DE107N1,SO,10,N,OK,JSP,NA
DP606,DE107N1,SO,10,N,OK,JSP,NA
DP841,DE108N1,CU,10,N,OK,JSP,NA
DP715,DE109N1,HE,2,N,OK,JSP,And 1 trainer SO
DP716,DE109N1,CU,2,N,OK,JSP,NA
DP632,DE109N1,SO,10,N,OK,JSP,NA
DP639,DE109N1,SO,10,N,OK,JSP,NA
DP710,DE110N1,PI,1,N,OK,JSP,NA
DP709,DE110N1,CU,10,N,OK,JSP,NA
DP603,DE111N1,SO,10,N,OK,JSP,NA
DP795,DE112N1,HE,5,N,OK,JSP,NA
DP802,DE112N1,CU,5,N,OK,JSP,NA
DP684,DE114N1,PI,5,N,OK,JSP,NA
DP685,DE114N1,CO,1,N,OK,JSP,NA
DP683,DE114N1,CU,10,N,OK,JSP,NA
DP649,DE115N2,SO,20,N,OK,JSP,NA
DP602,DE116N1,SO,9,N,OK,JSP,NA
DP604,DE116N1,SO,9,N,OK,JSP,NA
DP676,DE117N1,HE,1,N,OK,JSP,NA
DP677,DE117N1,CU,2,N,OK,JSP,NA
DP658,DE117N1,SO,20,N,OK,JSP,NA
DP694,DE120N2,CU,10,N,OK,JSP,NA
DP849,DE120N2,CU,1,N,OK,JSP,NA
DP848,DE120N2,HE,6,N,OK,JSP,NA
DP621,DE120N2,SO,10,N,OK,JSP,NA
DP631,DE120N2,SO,9,N,OK,JSP,NA
DP895,DE121N1,SO,20,N,OK,JSP,NA
DP654,DE121N1,HE,1,N,OK,JSP,ID in bundle with DP656 and DP657
DP655,DE121N1,PI,2,N,OK,JSP,ID in bundle with DP656 and DP654
DP656,DE121N1,CU,4,N,OK,JSP,ID in bundle with DP654 and DP657
DP847,DE124N1,CU,10,N,OK,JSP,NA
DP689,DE128N4,CU,5,N,OK,JSP,NA
DP687,DE128N4,CO,1,N,OK,JSP,NA
DP688,DE128N4,HE,1,N,OK,JSP,NA
DP628,DE128N4,SO,10,N,OK,JSP,NA
DP653,DE128N4,SO,10,N,OK,JSP,NA
DP804,DE130N1,CU,5,N,OK,JSP,NA
DP897,DE130N1,SO,10,N,OK,JSP,NA
DP909,DE130N1,SO,10,N,OK,JSP,NA
DP679,DE137N1,CU,5,N,OK,JSP,NA
DP680,DE137N1,HE,1,N,OK,JSP,NA
DP651,DE137N1,SO,10,N,OK,JSP,NA
DP657,DE137N1,SO,10,N,OK,JSP,NA
DP803,DE139N1,PI,1,N,OK,JSP,NA
DP815,DE139N1,CU,5,N,OK,JSP,NA
DP898,DE139N1,SO,10,N,OK,JSP,NA
DP908,DE139N1,SO,10,N,OK,JSP,NA
DP610,DE140N1,SO,10,N,OK,JSP,NA
DP611,DE140N1,SO,10,N,OK,JSP,NA
DP851,DE149N1,HE,1,N,OK,JSP,NA
DP850,DE149N1,CO,1,N,OK,JSP,NA
DP659,DE149N1,SO,20,N,OK,JSP,NA
DP693,DE150N3,PI,1,N,OK,JSP,all in the same package
DP692,DE150N3,CU,10,N,OK,JSP,NA
DP652,DE150N3,SO,10,N,OK,JSP,NA
DP661,DE150N3,SO,9,N,OK,JSP,NA
DP814,DE151N1,CU,5,N,OK,JSP,NA
DP821,DE151N1,SO,10,N,OK,JSP,NA
DP822,DE151N1,SO,10,N,OK,JSP,NA
DP671,DE152N3,PI,1,N,OK,JSP,NA
DP669,DE152N3,CU,10,N,OK,JSP,NA
DP670,DE152N3,HE,1,N,OK,JSP,NA
DP647,DE152N3,SO,10,N,OK,JSP,NA
DP648,DE152N3,SO,10,N,OK,JSP,NA
DP837,DE153N2,CU,10,N,OK,JSP,NA
DP663,DE153N2,SO,12,N,OK,JSP,NA
DP796,DE154N1,HE,2,N,OK,JSP,NA
JP565,DE154N1,CU,10,N,OK,JSP,NA
DP678,DE154N1,CU,10,N,OK,JSP,Pkg mislabeled as 2015-06-05-J01
DP901,DE154N1,SO,20,N,OK,JSP,NA
