sample_id,sieve,fraction_proc,size_class,phylum,class,subclass,order,infraorder,family,genus,species,life_stage,sex,length,count,tot_count,abundance,lab_processor
JSPK1031,2000,1,5 to 10,Cnidaria,Hydrozoa,Hydroidolina,Leptothecata,,,,,,,7,1,1,0.038760637,Andrea Le
JSPK1031,2000,1,5 to 10,Cnidaria,Hydrozoa,Hydroidolina,Leptothecata,,,,,,,7,1,1,0.038760637,Andrea Le
JSPK1031,2000,1,2 to 5,Arthropoda,Malacostraca,Eumalacostraca,Decapoda,Anomura,Porcellanidae,,,larvae,,3.2,1,1,0.038760637,Andrea Le
JSPK1031,2000,1,2 to 5,Arthropoda,Malacostraca,Eumalacostraca,Decapoda,Anomura,Porcellanidae,,,larvae,,3.2,1,1,0.038760637,Andrea Le
JSPK1031,1000,1,2 to 5,Arthropoda,Hexanauplia,Copepoda,Calanoida,,Calanidae,Calanus,marshallae,,,3.65,8,8,0.310085096,Andrea Le
JSPK1031,1000,1,2 to 5,Arthropoda,Hexanauplia,Copepoda,Calanoida,,Calanidae,Calanus,pacificus,,,2.7,2,2,0.077521274,Andrea Le
JSPK1031,1000,1,2 to 5,Arthropoda,Hexanauplia,Copepoda,Calanoida,,Pontellidae,Epilabidocera,longipedata,C5,,2.7,2,2,0.077521274,Andrea Le
JSPK1031,1000,1,2 to 5,Arthropoda,Malacostraca,Eumalacostraca,Amphipoda,,Hyperiidae,Themisto,,,,3.5,3,3,0.116281911,Andrea Le
JSPK1031,1000,1,5 to 10,Cnidaria,Hydrozoa,Hydroidolina,Leptothecata,,,,,,,6.5,1,1,0.038760637,Andrea Le
JSPK1031,1000,1,2 to 5,Arthropoda,Malacostraca,Eumalacostraca,Decapoda,Brachyura,Majidae,,,larvae,,3,1,1,0.038760637,Andrea Le
JSPK1031,1000,1,2 to 5,Arthropoda,Hexanauplia,Copepoda,Calanoida,,Metridinidae,Metridia,,,,2.7,1,1,0.038760637,Andrea Le
