survey_date,site_id,gather_lat,gather_long,ysi_unit_sn,sampling_bout,collected,quality_log,temperature_0m,temperature_1m,salinity_0m,salinity_1m
,D01,,,15B102233,,2015-05-12 13:40:00 PDT,"Location: lat 49 57.681' N Lon 124 44.911' W. This sample may be no good altogether because we had errors with our flow meter. It seems it didn't turn enough times compared to when we used it the next day (only turned 700 times, whereas on Wednesday it turned a couple thousand times). The sample was still processed in the lab.
2: YSI time estimated 2 hours after time of set to account for processing time (no data recorded). Added 2018-07-18 JG",,,,
,D02,,,15B102233,,2015-05-13 11:49:00 PDT,"Lat 50 4.741N Lon 124 51.057W
2: YSI time estimated 2 hours after time of set to account for processing time (no data recorded). Added 2018-07-18 JG",,,,
,D04,,,15B102233,,2015-05-04 09:38:00 PDT,"Location: lat: 49 59.949N Lon: 125 08.369W
2: YSI time estimated 2 hours after time of set to account for processing time (no data recorded). Added 2018-07-18 JG",,,,
,D05,,,15B102233,,2015-05-15 09:50:00 PDT,"In field site location not stored. Site location: 50*09.685' N 124*53.049' W 
Note: degree symbol not available on iPad thus a * was used in place.
2: YSI time estimated 2 hours after time of set to account for processing time (no data recorded). Added 2018-07-18 JG",,,,
,D02,,,15B102233,,2015-05-15 12:21:00 PDT,YSI time estimated 2 hours after time of set to account for processing time (no data recorded). Added 2018-07-18 JG,,,,
,D03,,,15B102233,,2015-05-15 15:28:00 PDT,"Device location did not work on site. The site location for this sample is: 50*07.105N 125*04.507W
2: YSI time estimated 2 hours after time of set to account for processing time (no data recorded). Added 2018-07-18 JG",,,,
,D06,,,15B102233,,2015-05-16 10:00:00 PDT,"""Lab procedures"" are completed on boat. We don't really process anything in the lab because our samples are entirely put into one pet jar with formalin while we are on the water.
2: YSI time estimated 2 hours after time of set to account for processing time (no data recorded). Added 2018-07-18 JG",,,,
,D07,,,15B102233,,2015-05-16 14:30:00 PDT,YSI time estimated 2 hours after time of set to account for processing time (no data recorded). Added 2018-07-18 JG,,,,
,D02,,,15B102233,,2015-05-17 11:00:00 PDT,YSI time estimated 2 hours after time of set to account for processing time (no data recorded). Added 2018-07-18 JG,,,,
,D03,,,15B102233,,2015-05-18 09:30:00 PDT,YSI time estimated 2 hours after time of set to account for processing time (no data recorded). Added 2018-07-18 JG,,,,
,D05,,,15B102233,,2015-05-18 13:30:00 PDT,YSI time estimated 2 hours after time of set to account for processing time (no data recorded). Added 2018-07-18 JG,,,,
,D08,,,15B102233,,2015-05-19 12:30:00 PDT,YSI time estimated 2 hours after time of set to account for processing time (no data recorded). Added 2018-07-18 JG,,,,
,D09,,,15B102233,,2015-05-20 10:00:00 PDT,YSI time estimated 2 hours after time of set to account for processing time (no data recorded). Added 2018-07-18 JG,,,,
,J05,,,15C100324,,2015-05-20 12:54:51 PDT,NA,,,,
,J06,,,15C100324,,2015-05-21 06:20:32 PDT,NA,,,,
,D03,,,15B102233,,2015-05-21 11:45:00 PDT,YSI time estimated 2 hours after time of set to account for processing time (no data recorded). Added 2018-07-18 JG,,,,
,D07,,,15B102233,,2015-05-21 15:00:00 PDT,YSI time estimated 2 hours after time of set to account for processing time (no data recorded). Added 2018-07-18 JG,,,,
,J07,,,15C100324,,2015-05-22 07:50:50 PDT,Changed Temperature from 28.5 and Salinity from 9.6 (2018-07-16 JG),,,,
,J08,,,15C100324,,2015-05-22 12:08:10 PDT,NA,,,,
,J04,,,15C100324,,2015-05-22 15:35:36 PDT,NA,,,,
,J03,,,15C100324,,2015-05-23 08:00:46 PDT,All samples have J0CP as site because site name had not yet been determined.,,,,
