survey_date,species,weight,fork_length,year
2020-05-19T00:00:00Z,SO,6.1,87,2020
2020-05-19T00:00:00Z,PI,15.5,120,2020
2020-05-19T00:00:00Z,PI,4.4,73,2020
2020-05-19T00:00:00Z,PI,5.9,89,2020
2020-05-19T00:00:00Z,PI,6.6,91,2020
2020-05-19T00:00:00Z,PI,2.9,64,2020
2020-05-19T00:00:00Z,PI,6.8,92,2020
2020-05-19T00:00:00Z,PI,4.9,79,2020
2020-05-19T00:00:00Z,PI,5.7,88,2020
2020-05-19T00:00:00Z,PI,6.3,91,2020
2020-05-19T00:00:00Z,PI,3.3,68,2020
2020-05-19T00:00:00Z,CU,9.2,95,2020
2020-05-19T00:00:00Z,CU,11.2,101,2020
2020-05-19T00:00:00Z,CU,21.5,125,2020
2020-05-19T00:00:00Z,CU,5.5,84,2020
2020-05-19T00:00:00Z,CU,15.4,118,2020
2020-05-19T00:00:00Z,CU,9.5,103,2020
2020-05-19T00:00:00Z,CU,4.6,80,2020
2020-05-19T00:00:00Z,CU,9.2,95,2020
2020-05-19T00:00:00Z,CU,6.6,82,2020
2020-05-19T00:00:00Z,CU,7.9,95,2020
2020-05-22T00:00:00Z,SO,17.5,121,2020
2020-05-22T00:00:00Z,SO,15.1,116,2020
2020-05-22T00:00:00Z,SO,15.2,118,2020
2020-05-22T00:00:00Z,SO,12.7,106,2020
2020-05-22T00:00:00Z,SO,8.9,97,2020
2020-05-22T00:00:00Z,SO,12.6,112,2020
2020-05-22T00:00:00Z,SO,14.7,114,2020
2020-05-22T00:00:00Z,SO,16.1,119,2020
2020-05-22T00:00:00Z,SO,13.9,113,2020
2020-05-22T00:00:00Z,SO,15.4,114,2020
2020-05-22T00:00:00Z,PI,19.2,128,2020
2020-05-22T00:00:00Z,PI,10.4,108,2020
2020-05-22T00:00:00Z,PI,23.8,136,2020
2020-05-22T00:00:00Z,PI,12.1,112,2020
2020-05-22T00:00:00Z,PI,13.1,116,2020
2020-05-22T00:00:00Z,PI,9.9,104,2020
2020-05-22T00:00:00Z,SO,23.7,134,2020
2020-05-22T00:00:00Z,SO,18.6,125,2020
2020-05-22T00:00:00Z,SO,13.4,110,2020
2020-05-22T00:00:00Z,SO,14.7,108,2020
2020-05-22T00:00:00Z,SO,15.2,113,2020
2020-05-22T00:00:00Z,SO,11.6,108,2020
2020-05-22T00:00:00Z,SO,17.7,121,2020
2020-05-22T00:00:00Z,SO,12.1,107,2020
2020-05-22T00:00:00Z,SO,17.1,118,2020
2020-05-22T00:00:00Z,SO,21.4,128,2020
2020-05-22T00:00:00Z,SO,14.5,112,2020
