year,Estimate,SD,Z,measure,spp
2015,May 23,NA,-0.35,Migration Timing,Sockeye
2016,May 28,NA,0.35,Migration Timing,Sockeye
2017,June 07,NA,0.76,Migration Timing,Sockeye
2018,May 23,NA,-0.35,Migration Timing,Sockeye
2019,May 21,NA,-1.38,Migration Timing,Sockeye
2020,May 23,NA,-0.35,Migration Timing,Sockeye
2021,June 08,NA,1.38,Migration Timing,Sockeye
2015,201.3,479.6,0.74,Catch Intensity,Sockeye
2016,236.2,268.8,1.21,Catch Intensity,Sockeye
2017,87.1,127.5,-0.81,Catch Intensity,Sockeye
2018,133.7,373.3,-0.18,Catch Intensity,Sockeye
2019,194.6,423.3,0.65,Catch Intensity,Sockeye
2020,152.5,460.5,0.08,Catch Intensity,Sockeye
2021,21.2,17.6,-1.7,Catch Intensity,Sockeye
2015,109,11.17,-0.14,Length,Sockeye
2016,96.9,10.46,-1.72,Length,Sockeye
2017,121,16.69,1.42,Length,Sockeye
2018,114.7,16.67,0.6,Length,Sockeye
2019,114.5,9.3,0.58,Length,Sockeye
2020,107.8,10.41,-0.3,Length,Sockeye
2021,106.7,13.95,-0.44,Length,Sockeye
2015,0.78,0.53,1.45,Sea lice Abundance,Sockeye
2016,0.26,0.2,-0.93,Sea lice Abundance,Sockeye
2017,0.36,0.25,-0.47,Sea lice Abundance,Sockeye
2018,0.21,0.2,-1.16,Sea lice Abundance,Sockeye
2019,0.66,0.93,0.9,Sea lice Abundance,Sockeye
2020,0.61,0.64,0.67,Sea lice Abundance,Sockeye
2021,0.36,0.3,-0.47,Sea lice Abundance,Sockeye
2015,NA,NA,NA,Migration Timing,Pink
2016,June 15,NA,-0.16,Migration Timing,Pink
2017,NA,NA,NA,Migration Timing,Pink
2018,June 12,NA,-0.91,Migration Timing,Pink
2019,NA,NA,NA,Migration Timing,Pink
2020,June 20,NA,1.07,Migration Timing,Pink
2021,NA,NA,NA,Migration Timing,Pink
2015,8.5,20.9,-0.83,Catch Intensity,Pink
2016,83.7,106.5,-0.52,Catch Intensity,Pink
2017,5.7,6.8,-0.84,Catch Intensity,Pink
2018,653.8,1040.7,1.81,Catch Intensity,Pink
2019,422.9,1055,0.87,Catch Intensity,Pink
2020,229.9,370.1,0.08,Catch Intensity,Pink
2021,71.4,63.3,-0.57,Catch Intensity,Pink
2015,110.4,17.29,1.81,Length,Pink
2016,98.6,15.25,0.3,Length,Pink
2017,92.6,16.38,-0.48,Length,Pink
2018,87.8,12.44,-1.09,Length,Pink
2019,99.5,16.65,0.41,Length,Pink
2020,96.8,15.27,0.07,Length,Pink
2021,88.3,11.02,-1.02,Length,Pink
2015,0.8,0.82,1.77,Sea lice Abundance,Pink
2016,0.31,0.26,-1.17,Sea lice Abundance,Pink
2017,0.42,0.47,-0.51,Sea lice Abundance,Pink
2018,0.38,0.39,-0.75,Sea lice Abundance,Pink
2019,0.49,0.62,-0.09,Sea lice Abundance,Pink
2020,0.64,0.54,0.81,Sea lice Abundance,Pink
2021,0.49,0.54,-0.09,Sea lice Abundance,Pink
2015,June 05,NA,-1.61,Migration Timing,Chum
2016,June 15,NA,-0.09,Migration Timing,Chum
2017,June 26,NA,1.59,Migration Timing,Chum
2018,June 12,NA,-0.54,Migration Timing,Chum
2019,June 20,NA,0.68,Migration Timing,Chum
2020,June 17,NA,0.22,Migration Timing,Chum
2021,June 14,NA,-0.24,Migration Timing,Chum
2015,96.7,115.6,-0.63,Catch Intensity,Chum
2016,66.8,74.4,-0.84,Catch Intensity,Chum
2017,331.9,460.7,0.98,Catch Intensity,Chum
2018,425.9,678.1,1.62,Catch Intensity,Chum
2019,192.2,187.6,0.02,Catch Intensity,Chum
2020,20.2,24,-1.15,Catch Intensity,Chum
2021,189.6,123.4,0,Catch Intensity,Chum
2015,113.4,16.2,1.23,Length,Chum
2016,99.7,16.12,-0.8,Length,Chum
2017,105.9,13.17,0.11,Length,Chum
2018,97.7,15.49,-1.1,Length,Chum
2019,114.2,17.26,1.34,Length,Chum
2020,106,13.69,0.12,Length,Chum
2021,99.1,15.01,-0.89,Length,Chum
2015,0.51,0.43,0.15,Sea lice Abundance,Chum
2016,0.22,0.23,-1.29,Sea lice Abundance,Chum
2017,0.5,0.41,0.1,Sea lice Abundance,Chum
2018,0.21,0.26,-1.34,Sea lice Abundance,Chum
2019,0.68,0.93,0.99,Sea lice Abundance,Chum
2020,0.73,0.8,1.24,Sea lice Abundance,Chum
2021,0.51,0.56,0.15,Sea lice Abundance,Chum
2015,9.54,0.22,0.85,Sea-surface Temperature,Northern Strait of Georgia
2016,9.79,0.16,1.78,Sea-surface Temperature,Northern Strait of Georgia
2017,9.06,0.13,-0.95,Sea-surface Temperature,Northern Strait of Georgia
2018,9.21,0.13,-0.4,Sea-surface Temperature,Northern Strait of Georgia
2019,9.14,0.12,-0.66,Sea-surface Temperature,Northern Strait of Georgia
2020,9.36,0.16,0.16,Sea-surface Temperature,Northern Strait of Georgia
2021,9.11,0.19,-0.78,Sea-surface Temperature,Northern Strait of Georgia
