seine_id,bm_species,scientificName,bm_status,bm_ageclass,occurrenceID
DE100N3,Sockeye salmon,Oncorhynchus nerka,M,J,bycatch-1
DE100N3,Sockeye salmon,Oncorhynchus nerka,M,J,bycatch-2
DE100N3,Sockeye salmon,Oncorhynchus nerka,M,J,bycatch-3
DE100N3,Sockeye salmon,Oncorhynchus nerka,M,J,bycatch-4
DE100N3,Sockeye salmon,Oncorhynchus nerka,M,J,bycatch-5
DE100N3,Sockeye salmon,Oncorhynchus nerka,M,J,bycatch-6
DE100N3,Sockeye salmon,Oncorhynchus nerka,M,J,bycatch-7
DE104N1,Chinook salmon,Oncorhynchus tshawytscha,B,NA,bycatch-8
DE106N1,Threespine stickleback,Gasterosteus aculeatus,B,NA,bycatch-9
DE106N1,Threespine stickleback,Gasterosteus aculeatus,B,NA,bycatch-10
DE106N1,Threespine stickleback,Gasterosteus aculeatus,B,NA,bycatch-11
DE106N1,Threespine stickleback,Gasterosteus aculeatus,B,NA,bycatch-12
DE106N1,Threespine stickleback,Gasterosteus aculeatus,B,NA,bycatch-13
DE106N1,Threespine stickleback,Gasterosteus aculeatus,B,NA,bycatch-14
DE107N1,Trout,Salmonidae,B,NA,bycatch-15
DE107N1,Trout,Salmonidae,B,NA,bycatch-16
DE108N1,Flatfish,Pleuronectiformes,B,J,bycatch-17
DE120N2,Sockeye salmon,Oncorhynchus nerka,M,J,bycatch-18
DE120N2,Chum salmon,Oncorhynchus keta,M,J,bycatch-19
DE140N1,Sockeye salmon,Oncorhynchus nerka,M,J,bycatch-20
DE150N3,Chinook salmon,Oncorhynchus tshawytscha,B,NA,bycatch-21
DE154N1,Tidepool sculpin,Oligocottus maculosus,B,NA,bycatch-22
DE154N1,Threespine stickleback,Gasterosteus aculeatus,B,NA,bycatch-23
DE154N1,Threespine stickleback,Gasterosteus aculeatus,B,NA,bycatch-24
DE154N1,Threespine stickleback,Gasterosteus aculeatus,B,NA,bycatch-25
DE154N1,Threespine stickleback,Gasterosteus aculeatus,B,NA,bycatch-26
DE154N1,Sockeye salmon,Oncorhynchus nerka,M,J,bycatch-27
DE158N2,Threespine stickleback,Gasterosteus aculeatus,B,NA,bycatch-28
