sample_id,sample_type,sample_subtype,ufn,sample_comments
S01CA1,carcass,whole,U01,NA
S02CA1,carcass,whole,U02,NA
S03CA1,carcass,whole,U03,NA
S04CA1,carcass,whole,U04,NA
S05CA1,carcass,whole,U05,NA
S07CA1,carcass,whole,U07,NA
S08CA1,carcass,whole,U08,NA
S09CA1,carcass,whole,U09,NA
S10CA1,carcass,whole,U10,NA
S11CA1,carcass,whole,U11,NA
S12CA1,carcass,whole,U12,NA
S13CA1,carcass,whole,U13,NA
S14CA1,carcass,whole,U14,NA
S15CA1,carcass,whole,U15,NA
S16CA1,carcass,whole,U16,NA
S17CA1,carcass,whole,U17,NA
S18CA1,carcass,whole,U18,NA
S19CA1,carcass,whole,U19,NA
S20CA1,carcass,whole,U20,NA
S21CA1,carcass,whole,U21,NA
S22CA1,carcass,whole,U22,NA
S23CA1,carcass,whole,U23,NA
S24CA1,carcass,whole,U24,NA
S25CA1,carcass,whole,U25,NA
S26CA1,carcass,whole,U26,NA
S27CA1,carcass,whole,U27,NA
S28CA1,carcass,whole,U28,NA
S29CA1,carcass,whole,U29,NA
S30CA1,carcass,whole,U30,NA
S31CA1,carcass,whole,U31,NA
S32CA1,carcass,whole,U32,NA
S33CA1,carcass,whole,U33,NA
S34CA1,carcass,whole,U34,NA
S35CA1,carcass,whole,U35,NA
S36CA1,carcass,whole,U36,NA
S37CA1,carcass,whole,U37,NA
S38CA1,carcass,whole,U38,NA
S40CA1,carcass,whole,U40,NA
S41CA1,carcass,whole,U41,NA
S42CA1,carcass,whole,U42,NA
S43CA1,carcass,whole,U43,NA
S45CA1,carcass,whole,U45,NA
S46CA1,carcass,whole,U46,NA
S47CA1,carcass,whole,U47,NA
S48CA1,carcass,whole,U48,NA
S49CA1,carcass,whole,U49,NA
S50CA1,carcass,whole,U50,NA
S51CA1,carcass,whole,U51,NA
S52CA1,carcass,whole,U52,NA
S53CA1,carcass,whole,U53,NA
S54CA1,carcass,whole,U54,NA
S55CA1,carcass,whole,U55,NA
S56CA1,carcass,whole,U56,NA
S57CA1,carcass,whole,U57,NA
S58CA1,carcass,whole,U58,NA
S59CA1,carcass,whole,U59,NA
S60CA1,carcass,whole,U60,NA
S61CA1,carcass,whole,U61,NA
S62CA1,carcass,whole,U62,NA
S63CA1,carcass,whole,U63,NA
S64CA1,carcass,whole,U64,NA
S65CA1,carcass,whole,U65,NA
S66CA1,carcass,whole,U66,NA
S68CA1,carcass,whole,U68,NA
S69CA1,carcass,whole,U69,NA
S70CA1,carcass,whole,U70,NA
S71CA1,carcass,whole,U71,NA
S72CA1,carcass,whole,U72,NA
S73CA1,carcass,whole,U73,NA
S74CA1,carcass,whole,U74,NA
S75CA1,carcass,whole,U75,NA
S76CA1,carcass,whole,U76,NA
S77CA1,carcass,whole,U77,NA
S78CA1,carcass,whole,U78,NA
S79CA1,carcass,whole,U79,NA
S80CA1,carcass,whole,U80,NA
S81CA1,carcass,whole,U81,NA
S82CA1,carcass,whole,U82,NA
S83CA1,carcass,whole,U83,NA
S84CA1,carcass,whole,U84,NA
S85CA1,carcass,whole,U85,NA
S86CA1,carcass,whole,U86,NA
S87CA1,carcass,whole,U87,NA
S88CA1,carcass,whole,U88,NA
S89CA1,carcass,whole,U89,NA
S90CA1,carcass,whole,U90,NA
S91CA1,carcass,whole,U91,NA
S92CA1,carcass,whole,U92,NA
S93CA1,carcass,whole,U93,NA
S94CA1,carcass,whole,U94,NA
S95CA1,carcass,whole,U95,NA
S96CA1,carcass,whole,U96,NA
S97CA1,carcass,whole,U97,NA
S98CA1,carcass,whole,U98,NA
S99CA1,carcass,whole,U99,NA
S100CA1,carcass,whole,U100,NA
