sample_id,sample_type,ufn,sample_comments,analyzing_lab,sample_quality_flag,sample_quality_log
SXM5104,extra_muscle,U1721,NA,NA,AV,NA
SXM5105,extra_muscle,U1722,NA,NA,AV,NA
SXM5106,extra_muscle,U1723,NA,NA,AV,NA
SXM5107,extra_muscle,U1724,NA,NA,AV,NA
SXM5108,extra_muscle,U1725,NA,NA,AV,NA
SXM5109,extra_muscle,U1726,NA,NA,AV,NA
SXM5110,extra_muscle,U1727,NA,NA,AV,NA
SXM5111,extra_muscle,U1728,NA,NA,AV,NA
SXM5112,extra_muscle,U1729,NA,NA,AV,NA
SXM5113,extra_muscle,U1730,NA,NA,AV,NA
SXM5114,extra_muscle,U1751,NA,NA,AV,NA
SXM5115,extra_muscle,U1752,NA,NA,AV,NA
SXM5116,extra_muscle,U1753,NA,NA,AV,NA
SXM5117,extra_muscle,U1754,NA,NA,AV,NA
SXM5118,extra_muscle,U1755,NA,NA,AV,NA
SXM5119,extra_muscle,U1756,NA,NA,AV,NA
SXM5120,extra_muscle,U1757,NA,NA,AV,NA
SXM5121,extra_muscle,U1758,NA,NA,AV,NA
SXM5122,extra_muscle,U1759,NA,NA,AV,NA
SXM5123,extra_muscle,U1760,NA,NA,AV,NA
SXM5124,extra_muscle,U1791,NA,NA,AV,NA
SXM5125,extra_muscle,U1792,NA,NA,AV,NA
SXM5126,extra_muscle,U1793,NA,NA,AV,NA
SXM5127,extra_muscle,U1794,NA,NA,AV,NA
SXM5128,extra_muscle,U1795,NA,NA,AV,NA
SXM5129,extra_muscle,U1796,NA,NA,AV,NA
SXM5130,extra_muscle,U1797,NA,NA,AV,NA
SXM5131,extra_muscle,U1798,NA,NA,AV,NA
SXM5132,extra_muscle,U1799,NA,NA,AV,NA
SXM5133,extra_muscle,U1800,NA,NA,AV,NA
SXM5134,extra_muscle,U1871,NA,NA,AV,NA
SXM5135,extra_muscle,U1872,NA,NA,AV,NA
SXM5136,extra_muscle,U1873,NA,NA,AV,NA
SXM5137,extra_muscle,U1874,NA,NA,AV,NA
SXM5138,extra_muscle,U1875,NA,NA,AV,NA
SXM5139,extra_muscle,U1881,NA,NA,AV,NA
SXM5140,extra_muscle,U1882,NA,NA,AV,NA
SXM5141,extra_muscle,U1883,NA,NA,AV,NA
SXM5142,extra_muscle,U1884,NA,NA,AV,NA
SXM5143,extra_muscle,U1885,NA,NA,AV,NA
SXM5144,extra_muscle,U2191,NA,NA,AV,NA
SXM5145,extra_muscle,U2192,NA,NA,AV,NA
SXM5146,extra_muscle,U2193,NA,NA,AV,NA
SXM5147,extra_muscle,U2194,NA,NA,AV,NA
SXM5148,extra_muscle,U2195,NA,NA,AV,NA
SXM5149,extra_muscle,U2196,NA,NA,AV,NA
SXM5150,extra_muscle,U2197,NA,NA,AV,NA
SXM5151,extra_muscle,U2198,NA,NA,AV,NA
SXM5152,extra_muscle,U2199,NA,NA,AV,NA
SXM5153,extra_muscle,U2200,NA,NA,AV,NA
SXM4786,extra_muscle,U4386,Stored in -20 overnight,NA,AV,NA
SXM4787,extra_muscle,U4387,Stored at -20 overnight,NA,AV,NA
SXM4788,extra_muscle,U4388,NA,NA,AV,NA
SXM4789,extra_muscle,U4389,Stored at -20 overnight,NA,AV,NA
SXM4791,extra_muscle,U4391,NA,NA,AV,NA
SXM4792,extra_muscle,U4392,NA,NA,AV,NA
SXM4884,extra_muscle,U4484,Stored at -20 overnight,NA,AV,NA
SXM4885,extra_muscle,U4485,Extra muscle stored at -20 overnight,NA,AV,NA
SXM4886,extra_muscle,U4486,Extra muscle stored at -20 overnight,NA,AV,NA
SXM4887,extra_muscle,U4487,Extra muscle stored at -20 overnight,NA,AV,NA
SXM4888,extra_muscle,U4488,Extra muscle stored at -20 overnight,NA,AV,NA
SXM4924,extra_muscle,U4524,NA,NA,AV,NA
SXM4925,extra_muscle,U4525,NA,NA,AV,NA
SXM4926,extra_muscle,U4526,NA,NA,AV,NA
SXM4927,extra_muscle,U4527,NA,NA,AV,NA
SXM4928,extra_muscle,U4528,NA,NA,AV,NA
SXM4929,extra_muscle,U4529,NA,NA,AV,NA
SXM4930,extra_muscle,U4530,NA,NA,AV,NA
SXM4931,extra_muscle,U4531,NA,NA,AV,NA
SXM4932,extra_muscle,U4532,NA,NA,AV,NA
SXM4933,extra_muscle,U4533,NA,NA,AV,NA
SXM4934,extra_muscle,U4534,NA,NA,AV,NA
SXM4935,extra_muscle,U4535,NA,NA,AV,NA
SXM4936,extra_muscle,U4536,NA,NA,AV,NA
SXM4954,extra_muscle,U4554,NA,NA,AV,NA
SXM4955,extra_muscle,U4555,NA,NA,AV,NA
SXM4956,extra_muscle,U4556,NA,NA,AV,NA
SXM4957,extra_muscle,U4557,NA,NA,AV,NA
SXM4958,extra_muscle,U4558,NA,NA,AV,NA
SXM4959,extra_muscle,U4559,NA,NA,AV,NA
SXM4960,extra_muscle,U4560,NA,NA,AV,NA
SXM4961,extra_muscle,U4561,NA,NA,AV,NA
SXM4962,extra_muscle,U4562,NA,NA,AV,NA
SXM4963,extra_muscle,U4563,NA,NA,AV,NA
SXM4964,extra_muscle,U4564,NA,NA,AV,NA
SXM4965,extra_muscle,U4565,NA,NA,AV,NA
SXM4966,extra_muscle,U4566,NA,NA,AV,NA
SXM4967,extra_muscle,U4567,NA,NA,AV,NA
SXM4968,extra_muscle,U4568,NA,NA,AV,NA
SXM4969,extra_muscle,U4569,NA,NA,AV,NA
SXM4970,extra_muscle,U4570,NA,NA,AV,NA
SXM4971,extra_muscle,U4571,NA,NA,AV,NA
SXM4972,extra_muscle,U4572,NA,NA,AV,NA
SXM4973,extra_muscle,U4573,NA,NA,AV,NA
SXM4974,extra_muscle,U4574,NA,NA,AV,NA
SXM4975,extra_muscle,U4575,NA,NA,AV,NA
SXM4976,extra_muscle,U4576,NA,NA,AV,NA
SXM4977,extra_muscle,U4577,NA,NA,AV,NA
SXM4978,extra_muscle,U4578,NA,NA,AV,NA
SXM4979,extra_muscle,U4579,NA,NA,AV,NA
SXM4980,extra_muscle,U4580,NA,NA,AV,NA
SXM4981,extra_muscle,U4581,NA,NA,AV,NA
SXM4982,extra_muscle,U4582,NA,NA,AV,NA
SXM4983,extra_muscle,U4583,NA,NA,AV,NA
SXM4984,extra_muscle,U4584,NA,NA,AV,NA
SXM4988,extra_muscle,U4588,NA,NA,AV,NA
SXM4989,extra_muscle,U4589,NA,NA,AV,NA
SXM4990,extra_muscle,U4590,NA,NA,AV,NA
SXM4991,extra_muscle,U4591,NA,NA,AV,NA
SXM5009,extra_muscle,U4609,Extra muscle stored at -20 overnight,NA,AV,NA
