sample_id,sample_type,sample_subtype,ufn,sample_comments,analyzing_lab,sample_quality_flag,sample_quality_log
S99RG1,RNA_pathogens,gill,U99,NA,NA,AV,NA
S127RG1,RNA_pathogens,gill,U127,NA,NA,AV,NA
S128RG1,RNA_pathogens,gill,U128,NA,NA,AV,NA
S129RG1,RNA_pathogens,gill,U129,NA,NA,AV,NA
S130RG1,RNA_pathogens,gill,U130,NA,NA,AV,NA
S200RG1,RNA_pathogens,gill,U200,NA,NA,AV,NA
S207RG1,RNA_pathogens,gill,U207,NA,NA,AV,NA
S208RG1,RNA_pathogens,gill,U208,NA,NA,AV,NA
S209RG1,RNA_pathogens,gill,U209,NA,NA,AV,NA
S210RG1,RNA_pathogens,gill,U210,NA,NA,AV,NA
S213RG1,RNA_pathogens,gill,U213,NA,NA,AV,NA
S214RG1,RNA_pathogens,gill,U214,NA,NA,AV,NA
S215RG1,RNA_pathogens,gill,U215,NA,NA,AV,NA
S216RG1,RNA_pathogens,gill,U216,NA,NA,AV,NA
S217RG1,RNA_pathogens,gill,U217,NA,NA,AV,NA
S218RG1,RNA_pathogens,gill,U218,NA,NA,AV,NA
S219RG1,RNA_pathogens,gill,U219,NA,NA,AV,NA
S220RG1,RNA_pathogens,gill,U220,NA,NA,AV,NA
S221RG1,RNA_pathogens,gill,U221,NA,NA,AV,NA
S222RG1,RNA_pathogens,gill,U222,NA,NA,AV,NA
S223RG1,RNA_pathogens,gill,U223,NA,NA,AV,NA
S224RG1,RNA_pathogens,gill,U224,NA,NA,AV,NA
S225RG1,RNA_pathogens,gill,U225,NA,NA,AV,NA
S226RG1,RNA_pathogens,gill,U226,NA,NA,AV,NA
S227RG1,RNA_pathogens,gill,U227,NA,NA,AV,NA
S228RG1,RNA_pathogens,gill,U228,NA,NA,AV,NA
S229RG1,RNA_pathogens,gill,U229,NA,NA,AV,NA
S230RG1,RNA_pathogens,gill,U230,NA,NA,AV,NA
S231RG1,RNA_pathogens,gill,U231,NA,NA,AV,NA
S232RG1,RNA_pathogens,gill,U232,NA,NA,AV,NA
S233RG1,RNA_pathogens,gill,U233,NA,NA,AV,NA
S234RG1,RNA_pathogens,gill,U234,NA,NA,AV,NA
S235RG1,RNA_pathogens,gill,U235,NA,NA,AV,NA
