sample_id,date_processed,content_weight,digestive_state,dominant_taxa,per_amphipod,per_decapod,per_euphausiid,per_cop_lg,per_cop_sm,per_larvacean,per_other,per_digested,other_dom_taxa,parasites,comments,initials,quality_level,quality_flag,quality_log
S20703ST1,2019-08-15,0.1912,1,euphausiid,0,0,90,10,0,0,0,0,NA,N,Tools/dish not cleaned with ethanol between samples,SJ,level1,AV,NA
S20716ST1,2019-08-15,0,0,empty,0,0,0,0,0,0,0,0,NA,N,Tools/dish not cleaned with ethanol between samples,SJ,level1,AV,NA
S20714ST1,2019-08-15,0,0,empty,0,0,0,0,0,0,0,0,NA,N,Tools/dish not cleaned with ethanol between samples,SJ,level1,AV,NA
S20711ST1,2019-08-15,0,0,empty,0,0,0,0,0,0,0,0,NA,N,Tools/dish not cleaned with ethanol between samples,SJ,level1,AV,NA
S20720ST1,2019-08-15,0.1878,1,euphausiid,0,0,100,0,0,0,0,0,NA,N,Tools/dish not cleaned with ethanol between samples,SJ,level1,AV,NA
S20717ST1,2019-08-15,0,0,empty,0,0,0,0,0,0,0,0,NA,N,Tools/dish not cleaned with ethanol between samples,SJ,level1,AV,NA
S20719ST1,2019-08-15,0.0269,2,euphausiid,0,0,90,10,0,0,0,0,NA,N,Tools/dish not cleaned with ethanol between samples,SJ,level1,AV,NA
S20583ST1,2019-08-19,0.002,3,larvacean,0,0,0,25,0,75,0,0,NA,Y,Tools/dish not cleaned with ethanol between samples. Worm cyst on cut side,BJ,level1,AV,NA
S20589ST1,2019-08-19,0.0015,3,larvacean,0,0,0,0,25,75,0,0,NA,N,Tools/dish not cleaned with ethanol between samples,JG,level1,AV,NA
S20570ST1,2019-08-19,0.0065,3,larvacean,0,0,0,0,5,95,0,0,NA,N,Tools/dish not cleaned with ethanol between samples,JG,level1,AV,NA
S20567ST1,2019-08-19,0.0255,3,larvacean,0,0,0,5,0,95,0,0,NA,N,Tools/dish not cleaned with ethanol between samples,SF,level1,AV,NA
S20234ST1,2019-08-28,9e-4,2,decapod,0,50,0,50,0,0,0,0,NA,N,Only 2 items. Tools/dish not cleaned with ethanol between samples,SJ,level1,AV,NA
S20224ST1,2019-08-28,0,0,empty,0,0,0,0,0,0,0,0,NA,N,Female sockeye. 3 larvaceans. Tools/dish not cleaned with ethanol between samples,JG,level1,AV,NA
S20231ST1,2019-08-28,4e-4,2,large copepod,0,0,0,80,0,20,0,0,NA,Y,worm cysts on stomach. Tools/dish not cleaned with ethanol between samples,JG,level1,AV,NA
S20227ST1,2019-08-28,0.0034,3,larvacean,0,0,0,0,10,50,40,0,NA,N,other = gastropod. Tools/dish not cleaned with ethanol between samples,JG,level1,AV,NA
S20238ST1,2019-08-28,0,0,empty,0,0,0,0,0,0,0,0,NA,Y,worm on stomach. Tools/dish not cleaned with ethanol between samples,SF,level1,AV,NA
S20205ST1,2019-08-28,0.0042,2,large copepod,10,0,0,50,0,35,5,0,NA,N,Female sockeye.  Didn't blot before weighing. Adjusted weight best on estimated difference (0.0010g). Tools/dish not cleaned with ethanol between samples,SF,level1,AV,NA
S20203ST1,2019-08-28,0.0477,2,large copepod,0,0,0,95,0,5,0,0,NA,N,Tools/dish not cleaned with ethanol between samples,SF,level1,AV,NA
S20044ST1,2019-08-29,0.0073,3,small copepod,10,0,10,10,40,30,0,0,NA,Y,Many worm cysts on stomach. Tools/dish not cleaned with ethanol between samples,SJ,level1,AV,NA
S20046ST1,2019-08-29,0.0107,2,euphausiid,0,0,40,20,35,5,0,0,NA,Y,Worm cyst. Tools/dish not cleaned with ethanol between samples,SJ,level1,AV,NA
S20041ST1,2019-08-29,0.0136,3,large copepod,0,0,30,35,25,5,5,0,NA,N,Tools/dish not cleaned with ethanol between samples,SJ,level1,AV,NA
S20042ST1,2019-08-29,0.0073,3,euphausiid,0,0,35,30,20,5,0,10,NA,N,Tools/dish not cleaned with ethanol between samples,SJ,level1,AV,NA
S20045ST1,2019-08-29,0.02,2,euphausiid,0,20,45,20,15,0,0,0,NA,Y,Female sockeye. worm cysts,SJ,level1,AV,NA
S20047ST1,2019-08-30,0.0215,3,euphausiid,0,0,35,20,10,5,0,30,NA,Y,Female sockeye. worm cysts,SJ,level1,AV,NA
S20702ST1,2019-08-30,0.0441,1,small copepod,0,5,40,0,45,0,0,0,NA,N,copepods = Aetideus,SJ,level1,SVC,Sum of taxa proportions does not equal 100
S21361ST1,2019-08-30,0.0485,2,large copepod,0,0,0,100,0,0,0,0,NA,N,NA,SJ,level1,AV,NA
S21204ST1,2019-08-30,0.0205,2,larvacean,0,0,0,10,0,90,0,0,NA,N,NA,SJ,level1,AV,NA
S21203ST1,2019-08-30,0.0106,1,larvacean,0,0,0,0,0,100,0,0,NA,Y,Stomach lining dark red (internal bleeding?). Worm cysts on stomach,SJ,level1,AV,NA
S21202ST1,2019-08-30,0.0316,2,large copepod,0,0,0,55,0,45,0,0,NA,Y,worm cysts,SJ,level1,AV,NA
S20564ST1,2019-08-30,0.014,3,larvacean,0,0,0,5,0,60,0,35,NA,N,NA,SJ,level1,AV,NA
S20562ST1,2019-08-30,0.0098,3,larvacean,0,0,0,20,0,80,0,0,NA,N,NA,SJ,level1,AV,NA
S20565ST1,2019-08-30,0.0035,2,larvacean,0,0,0,15,0,85,0,0,NA,N,NA,SJ,level1,AV,NA
