sample_id,stock_1,region_1,prob_1,stock_2,region_2,prob_2,stock_3,region_3,prob_3,stock_4,region_4,prob_4,stock_5,region_5,prob_5,analyzing_lab,stock_id_quality_flag,stock_id_quality_level,stock_id_quality_log
SDN17,KUZKWA_CR,3,0.75,PINCHI_CR,3,0.2,TACHIE,3,0.04,WEAVER,4,0,CHILKO,3,0,PBS,AV,level1,NA
SDN20,KUZKWA_CR,3,0.36,PORTER_CR,1,0.34,WEAVER,4,0.12,PINCHI_CR,3,0.1,STELLAKO,3,0.04,PBS,AV,level1,NA
SDN12,KUZKWA_CR,3,0.41,PINCHI_CR,3,0.22,PORTAGE_CR,4,0.15,STELLAKO,3,0.14,TACHIE,3,0.04,PBS,AV,level1,NA
SDN21,CHILKO_SOUTH,2,0.32,KUZKWA_CR,3,0.24,CHILKO,3,0.21,PINCHI_CR,3,0.1,TACHIE,3,0.04,PBS,AV,level1,NA
SDN63,MITCHELL,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PBS,AV,level1,NA
SDN13,L_HORSEFLY,3,0.68,CHILKO,3,0.24,MCKINLEY,3,0.05,U_HORSEFLY,3,0.03,TACHIE,3,0,PBS,AV,level1,NA
SDN24,CHILKO,3,1,CHILKO_SOUTH,2,0,LITTLE,4,0,L_SHUSWAP,4,0,CHILKO-NORTH,3,0,PBS,AV,level1,NA
SDN15,CHILKO,3,0.85,THOMPSON_N,2,0.06,EAGLE_L,4,0.04,PORTAGE_CR,4,0.02,SEYMOUR,2,0.01,PBS,AV,level1,NA
SDN27,WEAVER,4,0.29,CHILKO_SOUTH,2,0.19,PINCHI_CR,3,0.12,KUZKWA_CR,3,0.11,THOMPSON_N,2,0.11,PBS,AV,level1,NA
SDN30,MITCHELL,3,1,WASKO_CR,3,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,PBS,AV,level1,NA
SDN31,L_HORSEFLY,3,0.44,THOMPSON_N,2,0.44,PORTAGE_CR,4,0.07,LITTLE,4,0.02,CHILKO,3,0.01,PBS,AV,level1,NA
SDN77,KUZKWA_CR,3,0.48,STELLAKO,3,0.27,PINCHI_CR,3,0.22,TACHIE,3,0.03,"NADINA",2,0,PBS,AV,level1,NA
SDN79,CHILKO,3,0.5,L_ADAMS,4,0.25,U_HORSEFLY,3,0.13,MIDDLE,3,0.07,HORSEFLY,3,0.02,PBS,AV,level1,NA
SDN84,KUZKWA_CR,3,0.51,PINCHI_CR,3,0.18,STELLAKO,3,0.12,PORTAGE_CR,4,0.05,TACHIE,3,0.03,PBS,AV,level1,NA
SDN90,KUZKWA_CR,3,0.64,PINCHI_CR,3,0.2,STELLAKO,3,0.09,TACHIE,3,0.04,PORTER_CR,1,0.03,PBS,AV,level1,NA
SDN95,CHILKO,3,0.93,CHILKO_SOUTH,2,0.06,THOMPSON_N,2,0,CHILKO-NORTH,3,0,MITCHELL,3,0,PBS,AV,level1,NA
SDN96,CHILKO,3,0.87,THOMPSON_N,2,0.13,CHILKO_SOUTH,2,0,CHILKO-NORTH,3,0,RAFT,2,0,PBS,AV,level1,NA
SDN123,CHILKO,3,0.99,U_HORSEFLY,3,0,"NARROWS",1,0,SINTA,1,0,BLACKWATER,1,0,PBS,AV,level1,NA
SDN120,MITCHELL,3,0.88,QUESNEL_MITCHE,3,0.05,QUESNEL_HORSEF,3,0.04,QUESNEL_DECEPT,3,0.02,BLUE_LEAD_CK,3,0.01,PBS,AV,level1,NA
SDN204,CHILKO,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PBS,AV,level1,NA
SDN221,WEAVER,4,0.7,THOMPSON_N,2,0.29,CHILKO,3,0.01,EAGLE_L,4,0,CHILKO-NORTH,3,0,PBS,AV,level1,NA
SDN247,L_ADAMS,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PBS,AV,level1,NA
SDN275,CHILKO,3,0.91,CHILKO-NORTH,3,0.05,L_ADAMS,4,0.04,BOWRON,2,0,RAFT,2,0,PBS,AV,level1,NA
SDN146,BIRKENHEAD,3,0.49,WEAVER,4,0.29,LAKEWASHINGTON,5,0.14,CHILKO,3,0.03,L_ADAMS,4,0.01,PBS,AV,level1,NA
SDN147,PORTER_CR,1,0.84,FORFAR,1,0.06,"NARROWS",1,0.04,BIVOUAC,1,0.03,FIVEMILE,1,0.01,PBS,AV,level1,NA
SDN148,KUZKWA_CR,3,0.72,PINCHI_CR,3,0.12,CHILKO,3,0.06,TACHIE,3,0.04,WEAVER,4,0.03,PBS,AV,level1,NA
SDN149,CHILKO,3,0.68,CHILKO_SOUTH,2,0.32,EAGLE_L,4,0,CHILKO-NORTH,3,0,PORTAGE_CR,4,0,PBS,AV,level1,NA
SDN143,CHILKO,3,0.48,CHILKO_SOUTH,2,0.18,THOMPSON_N,2,0.13,LITTLE,4,0.1,L_SHUSWAP,4,0.04,PBS,AV,level1,NA
SDN145,KUZKWA_CR,3,0.58,PINCHI_CR,3,0.22,STELLAKO,3,0.09,TACHIE,3,0.04,MITCHELL,3,0.02,PBS,AV,level1,NA
SDN152,PORTER_CR,1,0.31,KUZKWA_CR,3,0.29,PINCHI_CR,3,0.2,"NARROWS",1,0.05,FORFAR,1,0.03,PBS,AV,level1,NA
SDN153,BIRKENHEAD,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PBS,AV,level1,NA
SDN154,PORTER_CR,1,0.81,FORFAR,1,0.07,"NARROWS",1,0.06,BIVOUAC,1,0.03,HUDSON_BAY,1,0.01,PBS,AV,level1,NA
SDN155,CHILKO,3,0.96,CHILKO_SOUTH,2,0.04,LITTLE,4,0,MCKINLEY,3,0,KUZKWA_CR,3,0,PBS,AV,level1,NA
SDN156,PORTER_CR,1,0.6,PORTAGE_CR,4,0.13,LITTLE,4,0.09,EAGLE_L,4,0.04,"NARROWS",1,0.02,PBS,AV,level1,NA
SDN205,CHILKO,3,0.93,QUESNEL_HORSEF,3,0.04,MCKINLEY,3,0.02,U_HORSEFLY,3,0.01,MIDDLE,3,0,PBS,AV,level1,NA
SDN206,CHILKO,3,0.99,BLUE_LEAD_CK,3,0.01,QUESNEL_DECEPT,3,0,DUST,1,0,SINTA,1,0,PBS,AV,level1,NA
SDN207,CHILKO,3,0.97,QUESNEL_HORSEF,3,0.01,U_HORSEFLY,3,0.01,MIDDLE,3,0,EAGLE_L,4,0,PBS,AV,level1,NA
SDN208,CHILKO,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PBS,AV,level1,NA
SDN209,CHILKO,3,0.99,CHILKO_SOUTH,2,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,PBS,AV,level1,NA
SDN210,QUESNEL_HORSEF,3,0.64,U_HORSEFLY,3,0.2,MCKINLEY,3,0.12,BLUE_LEAD_CK,3,0.04,HORSEFLY,3,0.01,PBS,AV,level1,NA
SDN211,CHILKO,3,0.99,MCKINLEY,3,0.01,QUESNEL_HORSEF,3,0,BLUE_LEAD_CK,3,0,THOMPSON_N,2,0,PBS,AV,level1,NA
SDN212,MIDDLE,3,1,TACHIE,3,0,KUZKWA_CR,3,0,NA,NA,NA,NA,NA,NA,PBS,AV,level1,NA
SDN213,CHILKO,3,1,CHILKO_SOUTH,2,0,WEAVER,4,0,NA,NA,NA,NA,NA,NA,PBS,AV,level1,NA
SDN214,THOMPSON_N,2,0.69,CHILKO,3,0.2,RAFT,2,0.11,WEAVER,4,0,LITTLE,4,0,PBS,AV,level1,NA
SDN222,STELLAKO,3,0.9,BLACKWATER,1,0.06,HUDSON_BAY,1,0.02,"NADINA",2,0.01,SANDPOINT,1,0.01,PBS,AV,level1,NA
SDN223,CHILKO,3,0.78,TACHIE,3,0.07,PORTAGE_CR,4,0.04,L_ADAMS,4,0.03,ROARING,3,0.02,PBS,AV,level1,NA
SDN224,SCOTCH,2,0.96,L_ADAMS,4,0.03,CHILKO,3,0.01,PITT,2,0,EAGLE_L,4,0,PBS,AV,level1,NA
SDN225,CHILKO,3,0.98,TACHIE,3,0.01,PITT,2,0.01,CHILKO-NORTH,3,0.01,L_ADAMS,4,0,PBS,AV,level1,NA
SDN226,CHILKO,3,1,CHILKO-NORTH,3,0,L_ADAMS,4,0,NA,NA,NA,NA,NA,NA,PBS,AV,level1,NA
SDN227,SEYMOUR,2,0.82,SCOTCH,2,0.16,CHILKO-NORTH,3,0.02,EAGLE,2,0,NA,NA,NA,PBS,AV,level1,NA
SDN248,L_ADAMS,4,0.88,RAFT,2,0.1,THOMPSON_N,2,0.03,EAGLE_L,4,0,NA,NA,NA,PBS,AV,level1,NA
SDN249,L_ADAMS,4,0.96,RAFT,2,0.02,MIDDLESHUSWAP,4,0.01,FORFAR,1,0,FIVEMILE,1,0,PBS,AV,level1,NA
SDN250,CHILKO,3,0.99,PAULA,1,0,SANDPOINT,1,0,CHILKO-NORTH,3,0,TACHIE,3,0,PBS,AV,level1,NA
SDN251,CHILKO,3,0.56,L_ADAMS,4,0.3,CHILKO-NORTH,3,0.03,RAFT,2,0.03,LITTLE,4,0.02,PBS,AV,level1,NA
SDN252,TACHIE,3,0.77,CHILKO,3,0.19,CHILKO-NORTH,3,0.02,PAULA,1,0.02,L_ADAMS,4,0,PBS,AV,level1,NA
SDN253,CHILKO,3,0.82,RAFT,2,0.11,THOMPSON_N,2,0.04,L_ADAMS,4,0.02,CHILKO-NORTH,3,0.01,PBS,AV,level1,NA
SDN264,STELLAKO,3,1,CHILKO,3,0,TACHIE,3,0,KYNOCK,1,0,NA,NA,NA,PBS,AV,level1,NA
SDN215,CHILKO,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PBS,AV,level1,NA
SDN216,BLUE_LEAD_CK,3,0.76,QUESNEL_MITCHE,3,0.14,MITCHELL,3,0.1,QUESNEL_DECEPT,3,0,ROARING,3,0,PBS,AV,level1,NA
SDN217,CHILKO,3,0.99,RAFT,2,0,THOMPSON_N,2,0,STELLAKO,3,0,FENNELL,2,0,PBS,AV,level1,NA
SDN218,QUESNEL_HORSEF,3,0.97,U_HORSEFLY,3,0.01,CHILKO,3,0.01,HORSEFLY,3,0,L_HORSEFLY,3,0,PBS,AV,level1,NA
SDN219,CHILKO,3,0.36,RAFT,2,0.32,THOMPSON_N,2,0.23,FENNELL,2,0.06,KYNOCK,1,0.02,PBS,AV,level1,NA
SDN228,CHILKO,3,0.97,BLACKWATER,1,0.01,SANDPOINT,1,0,HUDSON_BAY,1,0,FORFAR,1,0,PBS,AV,level1,NA
SDN229,CHILKO,3,0.87,L_ADAMS,4,0.11,CHILKO_SOUTH,2,0.01,EAGLE_L,4,0.01,CHILKO-NORTH,3,0,PBS,AV,level1,NA
SDN230,PAULA,1,0.99,TACHIE,3,0.01,SANDPOINT,1,0,BLACKWATER,1,0,NA,NA,NA,PBS,AV,level1,NA
SDN231,L_ADAMS,4,0.82,CHILKO,3,0.08,PORTAGE_CR,4,0.04,LITTLE,4,0.03,PITT,2,0.02,PBS,AV,level1,NA
SDN232,CHILKO-NORTH,3,0.95,BLACKWATER,1,0.04,"NARROWS",1,0.01,GLUSKIE,1,0,FELIX,1,0,PBS,AV,level1,NA
SDN220,BIRKENHEAD,3,1,WEAVER,4,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,PBS,AV,level1,NA
SDN233,CHILKO,3,0.95,CHILKO-NORTH,3,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,PBS,AV,level1,NA
SDN234,PAULA,1,0.71,TACHIE,3,0.19,SANDPOINT,1,0.04,FORFAR,1,0.01,GLUSKIE,1,0.01,PBS,AV,level1,NA
SDN235,PAULA,1,0.85,SANDPOINT,1,0.06,ROSSETTE,1,0.03,FELIX,1,0.02,FORFAR,1,0.01,PBS,AV,level1,NA
SDN236,CHILKO-NORTH,3,0.99,BIRKENHEAD,3,0.01,CHILKO,3,0,"NARROWS",1,0,CHILKO_SOUTH,2,0,PBS,AV,level1,NA
SDN237,QUESNEL_HORSEF,3,0.87,U_HORSEFLY,3,0.1,SEYMOUR,2,0.02,SCOTCH,2,0,L_HORSEFLY,3,0,PBS,AV,level1,NA
SDN238,QUESNEL_HORSEF,3,0.91,U_HORSEFLY,3,0.08,L_HORSEFLY,3,0,M_HORSEFLY,3,0,MCKINLEY,3,0,PBS,AV,level1,NA
SDN239,QUESNEL_HORSEF,3,0.91,U_HORSEFLY,3,0.09,HORSEFLY,3,0,NA,NA,NA,NA,NA,NA,PBS,AV,level1,NA
SDN240,L_ADAMS,4,1,EAGLE_L,4,0,L_SHUSWAP,4,0,NA,NA,NA,NA,NA,NA,PBS,AV,level1,NA
SDN241,L_ADAMS,4,0.99,BOWRON,2,0.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,PBS,AV,level1,NA
SDN242,SEYMOUR,2,0.78,SCOTCH,2,0.11,CHILKO-NORTH,3,0.08,QUESNEL_HORSEF,3,0.02,RAFT,2,0.01,PBS,AV,level1,NA
SDN243,QUESNEL_MITCHE,3,0.55,QUESNEL_HORSEF,3,0.35,BLACKWATER,1,0.02,PAULA,1,0.02,"NARROWS",1,0.02,PBS,AV,level1,NA
SDN244,CHILKO-NORTH,3,0.98,RAFT,2,0.01,BIRKENHEAD,3,0.01,QUESNEL_HORSEF,3,0,U_HORSEFLY,3,0,PBS,AV,level1,NA
SDN245,L_ADAMS,4,0.96,CHILKO-NORTH,3,0.02,RAFT,2,0.01,MIDDLESHUSWAP,4,0.01,THOMPSON_N,2,0,PBS,AV,level1,NA
SDN246,L_ADAMS,4,0.99,BOWRON,2,0.01,EAGLE_L,4,0.01,CHILKO-NORTH,3,0,NA,NA,NA,PBS,AV,level1,NA
SDN254,L_ADAMS,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PBS,AV,level1,NA
SDN255,PAULA,1,0.85,SANDPOINT,1,0.08,TACHIE,3,0.02,ROSSETTE,1,0.01,FELIX,1,0.01,PBS,AV,level1,NA
SDN256,CHILKO,3,0.98,L_ADAMS,4,0.01,CHILKO-NORTH,3,0,PAULA,1,0,THOMPSON_N,2,0,PBS,AV,level1,NA
SDN257,CHILKO,3,0.96,L_ADAMS,4,0.04,LITTLE,4,0,PORTAGE_CR,4,0,ROARING,3,0,PBS,AV,level1,NA
SDN258,L_ADAMS,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PBS,AV,level1,NA
SDN259,L_ADAMS,4,0.94,MIDDLESHUSWAP,4,0.02,RAFT,2,0.02,L_SHUSWAP,4,0.01,THOMPSON_N,2,0.01,PBS,AV,level1,NA
SDN260,L_ADAMS,4,1,CHILKO,3,0,LITTLE,4,0,NA,NA,NA,NA,NA,NA,PBS,AV,level1,NA
SDN262,MITCHELL,3,0.85,QUESNEL_MITCHE,3,0.15,QUESNEL_DECEPT,3,0,WASKO_CR,3,0,ROARING,3,0,PBS,AV,level1,NA
SDN276,SCOTCH,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PBS,AV,level1,NA
SDN277,PITT,2,0.99,L_ADAMS,4,0,KALUM_LAKE,10,0,BIRKENHEAD,3,0,SCOTCH,2,0,PBS,AV,level1,NA
SDN278,PINCHI_CR,3,0.95,TACHIE,3,0.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,PBS,AV,level1,NA
SDN279,PINCHI_CR,3,0.45,THOMPSON_N,2,0.26,RAFT,2,0.19,PITT,2,0.03,BIRKENHEAD,3,0.01,PBS,AV,level1,NA
